Variable,Units,Group,Type,methodsVariable,Description
dataset,-,study,character,FALSE,"first author and year of relevant paper, e.g. Falster2012"
reference,-,study,character,FALSE,full bibliographic reference of source publication
grouping,-,stand,character,FALSE,"note any information about other information about growing environment of sampled plant, we will determine appropriate categories once we see what information is available"
location,-,site,character,FALSE,name of location where sampled
latitude,deg,site,character,FALSE,latitude of location where sampled (-90 to 90 deg South to North)
longitude,deg,site,character,FALSE,longitude of location where sampled (-180 to 180 West to East)
vegetation,Sav = Savannah; TropRF = Tropical rainforest; TempRf = temperate rainforest; TropSF = Tropical seasonal forest; TempF = Temp forest; BorF = Boreal forest; wo = Woodland; Gr = Grassland; Sh = Shrubland; De = Desert,site,character,FALSE,"vegetation type where sampled, or where typically found for artifical plantings (plantations, glasshouse, common garden etc)"
lai,m2.m2,site,numeric,TRUE,leaf area of index of vegetation
map,mm,site,numeric,FALSE,mean annual rainfall (wild grown plants only)
mat,deg,site,numeric,FALSE,mean annual temperature
family,-,species,character,FALSE,family
species,-,species,character,FALSE,latin name of species (genus species)
pft,EA = evergreen angiosperm; DA = deciduous angiosperm; EG = evergreen gymnosperm; DG = deciduous gymnosperm ,species,character,FALSE,plant functional type
age,yr,tree,numeric,TRUE,"age of plant expressed as decimal, e.g. 3months =0.25years"
a.lf,m2,tree,numeric,TRUE,total leaf area
a.ssba,m2,tree,numeric,TRUE,area of sapwood cross section at base
a.ssbh,m2,tree,numeric,TRUE,area of sapwood cross section at breast height
a.ssbc,m2,tree,numeric,TRUE,area of sapwood cross section at base of crown
a.shba,m2,tree,numeric,TRUE,area of heartwood cross section at base
a.shbh,m2,tree,numeric,TRUE,area of heartwood cross section at breast height
a.shbc,m2,tree,numeric,TRUE,area of heartwood cross section at base of crown
a.baba,m2,tree,numeric,TRUE,area of bark cross section at base
a.babh,m2,tree,numeric,TRUE,area of bark cross section at breast height
a.babc,m2,tree,numeric,TRUE,area of bark cross section at base of crown
a.stba,m2,tree,numeric,TRUE,area of total stem cross-section at base of the plant
a.stbh,m2,tree,numeric,TRUE,area of total stem cross-section at breast height
a.stbc,m2,tree,numeric,TRUE,area of total stem cross-section at base of the crown
a.cp,m2,tree,numeric,TRUE,"projected crown area, as seen from above"
a.cs,m2,tree,numeric,TRUE,surface area of whole crown 
h.t,m,tree,numeric,TRUE,"total height of plant, from ground to highest leaf"
h.c,m,tree,numeric,TRUE,"height to crown base, being the height of first branch bearing a live leaf"
m.lf,kg,tree,numeric,TRUE,leaf mass
m.st,kg,tree,numeric,TRUE,mass of all stem tissue (=m.ss + m.sh + m.sb)
m.so,kg,tree,numeric,TRUE,mass of shoot (=m.lf + m.st)
m.ss,kg,tree,numeric,TRUE,sapwood mass
m.sh,kg,tree,numeric,TRUE,heartwood mass
m.sb,kg,tree,numeric,TRUE,bark mass
m.br,kg,tree,numeric,TRUE,branch mass
m.rf,kg,tree,numeric,TRUE,fine root mass
m.rc,kg,tree,numeric,TRUE,coarse root mass
m.rt,kg,tree,numeric,TRUE,total root mass (=m.rf+m.rc)
m.to,kg,tree,numeric,TRUE,total mass
d.ba,m,tree,numeric,TRUE,diameter of stem at base
d.bh,m,tree,numeric,TRUE,diameter of stem at breast height (~1.35cm)
d.cr,m,tree,numeric,TRUE,diameter or width of crown
d.cr2,m,tree,numeric,TRUE,diameter or width of crown perpendicular to d.cr
c.d,m,tree,numeric,TRUE,crown depth
lf.sz,m2,tree,numeric,TRUE,leaf size (average area of individual leaves across entire plant)
lf.ma,kg.m2,tree,numeric,TRUE,leaf mass per area (average across entire plant or sample taken from top of plant; = m.lf/a.lf)
d.st,kg.m3,tree,numeric,TRUE,average density of all stem tissue (wood density)
d.ss,kg.m3,tree,numeric,TRUE,density of stem sapwood
d.sb,kg.m3,tree,numeric,TRUE,density of stem bark
d.sh,kg.m3,tree,numeric,TRUE,density of stem heartwood
n.lf,kg.m2,tree,numeric,TRUE,leaf nitrogen (average across entire plant or sample taken from top of plant)
n.ss,kg.kg,tree,numeric,TRUE,nitrogen content of sapwood
n.sb,kg.kg,tree,numeric,TRUE,nitrogen content of bark
n.sh,kg.kg,tree,numeric,TRUE,nitrogen content of heartwood
n.rf,kg.kg,tree,numeric,TRUE,nitrogen content of fine roots
n.rc,kg.kg,tree,numeric,TRUE,nitrogen content of coarse roots
growingCondition,FW = field wild; FE =field experimental; GH = glasshouse; PU = plantation unmanaged; PM = plantation managed; GC = growth chamber; CG = common garden;,tree,character,FALSE,growing environment of sampled plant
status,"0 = supressed, 1 = intermediate, 2 = codominant (crown partly exposed), 3 = dominant (crown fully exposed)",tree,character,FALSE,position in forest canopy (wild grown plants only)
light,-,tree,character,TRUE,"note any information about light environment of sampled plant, we will determine appropriate categories once we see what information is available"
