study,progress,comment
Aiba2005,3,emailed 2013.06.26
Aiba2007,3,emailed 2013.06.26
Albrektson1984,3,RAD fixed
Baltzer2007,2,emailed 2013.06.07
Baraloto2006,2,emailed 2013.06.07
Bond-Lamberty2002,2,emailed 2013.06.07
Brown1978,3,RAD fixed
Burger1953,3,RAD fixed
Coll2008,2,emailed 2013.06.07
Delagrange0000a,2,emailed 2013.06.07
Delagrange0000b,3,emailed 2013.06.26
Delagrange2004,3,emailed 2013.06.26
Domec2012,2,emailed 2013.06.07
Epron2011,2,emailed 2013.06.07
Garber2005,2,emailed 2013.06.07
Gargaglione2010,2,emailed 2013.06.07
Ghannoum2010a,3,RAD fixed
Ghannoum2010b,3,RAD fixed
Harja2012,2,emailed 2013.06.07
Ilomaki2003,3,emailed 2013.06.26
Ishihara0000,2,emailed 2013.06.07
Kantola2004,2,emailed 2013.06.26
Kelly0000a,2,emailed 2013.06.07
Kelly0000b,2,emailed 2013.06.07
Kenzo2009,3,emailed 2013.06.26
Kenzo2009b,3,emailed 2013.06.26
King1994,3,emailed 2013.06.27
Kohyama1987,2,emailed 2013.06.07
Kohyama1990,2,emailed 2013.06.07
Kohyama1994,2,emailed 2013.06.07
leMaire2011,2,emailed 2013.06.07
Lewis2013,2,fix in progress (RAD)
Lusk0000a,2,emailed 2013.06.07
Lusk0000b,2,emailed 2013.06.07
Lusk2002,2,emailed 2013.06.07
Lusk2004,2,emailed 2013.06.07
Lusk2011,2,emailed 2013.06.07
Lusk2012,2,emailed 2013.06.07
Maguire1998,2,emailed 2013.06.07
Martin1998,3,emailed 2013.06.26
McCulloh2010,2,emailed 2013.06.07
Mokany2003,3,emailed 2013.06.26
Monserud1999,2,emailed 2013.06.07
Mori1991,2,emailed 2013.06.07
Myster2009,2,emailed 2013.06.07
Nouvellon2010,3,emailed 2013.06.27
O'Grady2000,2,emailed 2013.06.07
O'Grady2006,2,emailed 2013.06.07
O'Hara0000,3,emailed 2013.06.27
O'Hara1995,3,emailed 2013.06.26
Osada0000,3,emailed 2013.06.26
Osada2003,3,emailed 2013.06.26
Osada2005,3,emailed 2013.06.26
Osunkoya2007,2,emailed 2013.06.07
Parviainen1999,3,emailed 2013.06.26
Peri0000,2,emailed 2013.06.07
Peri2008,2,emailed 2013.06.07
Peri2011,2,emailed 2013.06.07
Petritan2009,3,emailed 2013.06.26
Reid2004,2,emailed 2013.06.07
Ribeiro2011,2,emailed 2013.06.07
Roberts2004,2,emailed 2013.06.07
Rodriguez2003,2,emailed 2013.06.07
Roeh1997,2,emailed 2013.06.07
Roth2007,2,emailed 2013.06.07
Salazar2010,2,emailed 2013.06.07
SantaRegina0000,2,emailed 2013.06.07
SantaRegina1999,2,emailed 2013.06.07
Selaya2007,2,emailed 2013.06.07
Selaya2008,2,emailed 2013.06.07
Selaya2008b,2,emailed 2013.06.07
Sillett2010,2,emailed 2013.06.07
Stancioiu2005,3,emailed 2013.06.26
Sterck0000,2,emailed 2013.06.07
Sterck2001,2,emailed 2013.06.07
Tissue0000a,3,RAD fixed
Tissue0000b,3,RAD fixed
Tissue0000c,2,emailed 2013.06.07
Valladares2000,2,emailed 2013.06.07
Vanninen2005,2,emailed 2013.06.07
Wang1995,2,emailed 2013.06.07
Wang1996,2,emailed 2013.06.07
Wang2000,2,emailed 2013.06.07
Wang2011,2,emailed 2013.06.07
Yamada1996,2,emailed 2013.06.26
Yamada2000,2,emailed 2013.06.26
