"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","root.mass..g.","m1","g","m.rt",NA,"root mass (g)"
"2","trunk.mass..g.","m1","g","m.st",NA,"trunk mass (g)"
"3","branch.mass..g.","m1","g","m.br",NA,"branch mass (g)"
"4","leaf.mass..g.","m1","g","m.lf",NA,"leaf mass (g)"
"5","total.leaf.area..cm.2.","","cm2","a.lf",NA,"total leaf area (cm^2)"
"6","individual.leaf.area..cm.2.","b","cm2","lf.sz",NA,"individual leaf area (cm^2)"
"7","crown.depth..cm.","","cm","c.d",NA,"crown depth (cm)"
"8","crown.area..cm.2.","a","cm2","a.cp",NA,"crown area (cm^2)"
"9","height..cm.","","cm","h.t",NA,"height (cm)"
"10","stem.diameter..mm.","d","mm","d.ba",NA,"stem diameter (mm)"
"11","Genus",NA,NA,NA,NA,"Genus"
"12","Species",NA,NA,NA,NA,"Species"
