genus,species,total root mass (g),total stem mass (g),branch mass (g),branch mass + stem mass (g),total leaf mass (g),total leaf area (cm^2),individual leaf area (cm^2),height (cm),crown area (cm^2),crown height (cm),base diameter (mm)
Shorea,acuta,0.909,1.45,0,,1.32,189,41,43,471,22,3.733630941
Shorea,acuta,1.34,0.677,0,,2.06,150,24,15,449.02,6,3.649657518
Shorea,acuta,1.93,2.54,0,,1.87,261,75,39,569.91,5,4.249705872
Shorea,acuta,2,3.49,0,,1.83,212,74,49,529.875,4,5.049752469
Shorea,acuta,3.28,5.87,0,,2.08,264,72,45,657.045,9,6.649812027
Shorea,acuta,2.8,6.33,0,,4.94,580,81,56,828.96,13,5.948108943
Shorea,acuta,6.37,19.4,0,,9.71,1011,173,122,1807.855,33,8.1
Shorea,acuta,7.4,18.7,0,,9.41,1015,241,101,1673.62,20,7.9
Shorea,acuta,16,22.7,1.22,,20.14,1218,108,95,1769.39,33,8.999444427
Shorea,acuta,8.19,20,1.81,,11.17,1105,143,112,2357.355,30,9.49947367
Shorea,acuta,9.81,19.6,1.84,,14.81,881,105,110,1687.75,48,8.497646733
Shorea,acuta,7.7,15.4,1.96,,11.88,793,71,79,2059.055,40,8.485281374
Shorea,acuta,14,37.3,2.15,,12.012,1483,150,129,1215.18,42,12.74519517
Shorea,acuta,18.2,48.1,6.49,,25.48,2343,235,116,4331.63,22,12.44909635
Shorea,acuta,0.71,,,1.7,1.04,133,50,40,471,2,4.214261501
Shorea,acuta,1.28,,,1.8,1.26,158,48,41,395.64,7,4.4
Shorea,acuta,1.42,,,1.6,1.96,226,55,31,518.1,5,4.9
Shorea,acuta,1.66,,,3.06,0.834,124,34,67,314,2,4.949747468
Shorea,acuta,1.28,,,2.15,2.42,275,56,28,451.375,2,5.043808085
Shorea,acuta,2.13,,,1.86,1.98,258,57,32,489.84,2,4.874423043
Shorea,acuta,1.25,,,2.35,3.14,350,64,33,478.065,7,5.547972603
Shorea,acuta,2.1,,,4.36,4.91,540,77,54,847.8,12,5.2
Shorea,acuta,2.85,,,4.71,4.14,453,83,52,763.02,10,5.896609195
Shorea,acuta,2.14,,,5.6,4.67,517,95,60,961.625,17,5.799137867
Shorea,acuta,2.53,,,5.92,4.45,533,118,61,857.22,15,6.548282217
Shorea,acuta,3.01,,,7.55,5.06,516,130,70,1029.92,9,6.548282217
Shorea,acuta,2.64,,,10.5,4.54,499,148,95,960.84,9,6.799264666
Shorea,acuta,4.36,,,9.11,6.88,783,137,76,1067.6,28,7.683749085
Shorea,acuta,3.83,,,13.2,8.9,989,137,100,1681.47,38,8.099382693
Shorea,acuta,6.26,,,16,8.87,802,160,109,1277.98,17,8.590692638
Shorea,acuta,8.16,,,17,14.3,1442,142,87,1318.8,30,8.299397568
Shorea,acuta,9.12,,,24.6,13.5,1201,210,105,1923.25,27,8.897752525
Dipterocarpus,acutangulus,6.48,11.1,0.353,,5.547,703.9714286,94.9,93,1269.345,21,7.397296804
Dipterocarpus,acutangulus,7.53,15.6,0.801,,6.624,983.1410526,68.3,98,1168.08,24,8.149846624
Dipterocarpus,acutangulus,8.96,7.56,1.2,,3.522,544.4637681,79.8,64,791.28,13,6.499230724
Dipterocarpus,acutangulus,11.3,19.5,1.93,,5.72,766.4347826,82,108,659.4,15,10.74988372
