dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008992024,NA,NA,6.98,2.56,0.173,0.128,NA,NA,2.287,NA,NA,NA,22.4,28.113,3.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064692461,NA,NA,18.24,5.03,0.53,0.317,NA,NA,42.08,NA,NA,NA,270,363.88,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062015824,NA,NA,20.27,9.94,0.57,0.376,NA,NA,46.59,NA,NA,NA,408.9,508.49,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013892908,NA,NA,11.12,5.73,0.28,0.165,NA,NA,7.8,NA,NA,NA,54,71.6,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023506182,NA,NA,19.53,10.39,0.578,0.272,NA,NA,18.71,NA,NA,NA,201.1,234.91,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026880252,NA,NA,13.39,5.39,0.347,0.214,NA,NA,24.94,NA,NA,NA,95.2,137.44,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087092017,NA,NA,20.3,4.83,0.687,0.395,NA,NA,61.89,NA,NA,NA,442.8,578.89,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087615878,NA,NA,21.67,8.81,0.99,0.516,NA,NA,71.41,NA,NA,NA,633.1,793.01,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082957681,NA,NA,21.6,7.08,0.69,0.415,NA,NA,56.1,NA,NA,NA,488.4,596.7,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005808805,NA,NA,7.53,4.3,0.17,0.111,NA,NA,3,NA,NA,NA,21.7,27.36,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
