"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light"
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.2,NA,0.115,NA,NA,4.14,NA,NA,NA,25.32,43.91,14.42,NA,NA,7.5,51.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,2.5,NA,0.103,NA,NA,2.99,NA,NA,NA,22.26,34.77,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.2,NA,0.083,NA,NA,1.74,NA,NA,NA,11.39,17.72,4.58,NA,NA,3.74,21.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,3,NA,0.072,NA,NA,0.6,NA,NA,NA,8.43,10.311,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2.6,NA,0.085,NA,NA,1.25,NA,NA,NA,13.58,19.45,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3,NA,0.064,NA,NA,0.41,NA,NA,NA,6.8,8.881,1.67,NA,NA,2.43,11.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1.2,NA,0.08,NA,NA,2.94,NA,NA,NA,10.77,18.52,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-A",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,4.8,NA,0.069,NA,NA,0.68,NA,NA,NA,7.99,10.11,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-B",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,3.2,NA,0.107,NA,NA,4.7,NA,NA,NA,20.16,34.11,9.16,NA,NA,6.2,40.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Ando1973","Japan-Saijo city, Maruyama experimental stand-Plot1-B",34,133,"TempF",NA,NA,NA,NA,"Acacia mearnsii",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,4.7,NA,0.082,NA,NA,0.73,NA,NA,NA,10.75,12.87,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
