"dataset","location","latitude","longitude","family","species","pft","a.stbc","h.t","h.c","d.ba","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.008992024,6.98,2.56,0.173,0.128,2.287,22.4,28.113,3.426,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.064692461,18.24,5.03,0.53,0.317,42.08,270,363.88,51.8,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.062015824,20.27,9.94,0.57,0.376,46.59,408.9,508.49,53,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.013892908,11.12,5.73,0.28,0.165,7.8,54,71.6,9.8,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.023506182,19.53,10.39,0.578,0.272,18.71,201.1,234.91,15.1,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.026880252,13.39,5.39,0.347,0.214,24.94,95.2,137.44,17.3,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.087092017,20.3,4.83,0.687,0.395,61.89,442.8,578.89,74.2,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.087615878,21.67,8.81,0.99,0.516,71.41,633.1,793.01,88.5,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.082957681,21.6,7.08,0.69,0.415,56.1,488.4,596.7,52.2,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.005808805,7.53,4.3,0.17,0.111,3,21.7,27.36,2.66,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.017436625,17.27,11.6,0.425,0.232,18.93,146.2,175.08,9.95,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.002642079,3.58,1.4,0.085,0.058,0.824,2.99,4.389,0.575,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.011122023,7.57,3.38,0.239,0.139,9.17,27.2,42.186,5.816,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.027759113,15.18,7.79,0.46,0.248,29.9,150.3,197.55,17.35,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.013273229,11.52,6.14,0.31,0.153,7.94,61.8,74.77,5.03,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Cupressaceae","Cryptomeria japonica","EG",0.003318307,5.52,3.19,0.157,0.079,1.682,9.4,12.805,1.723,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Symplocaceae","Symplocos coreana","DA",0.00022698,1.8,0.72,0.0335,0.007,0.043,0.284,0.437,0.11,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Aquifoliaceae","Ilex sugerokii","EA",0.001017876,4.37,2.68,0.055,0.0485,0.461,3.782,4.975,0.732,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Clethraceae","Clethra barbinervis","DA",0.002248006,6,3.7,0.109,0.075,0.55,9.108,11.223,1.565,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Magnoliaceae","Magnolia salicifolia","DA",0.003525652,8.05,2.8,0.103,0.072,0.178,9.499,10.593,0.916,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Ericaceae","Menziesia ciliicalyx","DA",0.000323655,2.07,0.67,0.029,0.011,0.034,0.212,0.319,0.073,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Lauraceae","Lindera umbellata","DA",0.000606987,3.5,1.08,0.042,0.022,0.221,0.69,1.368,0.457,"FW"
"Ando0000","Japan-Ashiu Research Forest of Kyoto University-Compartment 4",35.33,135.72,"Aquifoliaceae","Ilex pedunculosa","EA",0.000962113,5.39,3.27,0.058,0.051,0.195,3.16,4.164,0.809,"FW"
