dataset,location,latitude,longitude,map,mat,species,growingcondition,status,light,harvest_year,age,tree_id,rep,number,genlev,genotype,dbh,grdiam,ht,SLA,stemdw,branchdw,leafdw,stembranchdw,agdw,taprootdw,coarserootdw,finerootdw,bgdw,totaldw,totalLA
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_1,11,1,cl,C2,5.23,9.42,4.37,38.96222495,2.559416129,1.19823539,1.694821163,3.757651519,5.452472682,1.680,0.32642,0.0249,2.031,7.484,6.60340034
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_2,11,2,cl,C3B,5.31,7.44,4.22,38.81225527,2.4278,0.5971158,1.343333333,3.0249158,4.368249133,1.140,0.16874,0.02426,1.333,5.701249133,5.213779625
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_3,11,3,cl,C3C,1.70,4.17,2.64,34.22774452,0.47424,0.096309,0.246963351,0.570549,0.817512351,0.200,0.05784,0.01201,0.26985,1.087362351,0.845299848
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_4,11,4,cl,C1B,3.05,6.53,2.68,37.62497136,1.408088889,0.6619325,1.601645796,2.070021389,3.671667185,1.140,0.271,0.0308,1.4418,5.113467185,6.02618772
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_5,11,5,cl,C1C,0.75,3.86,1.62,30.42630714,0.263315,0.275925285,0.137679558,0.539240285,0.676919843,0.100,0.05024,0.00413,0.15437,0.831289843,0.418908052
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_6,11,6,hs,HS3,5.05,7.52,3.67,37.14384044,2.176827826,0.95832,1.654117647,3.135147826,4.789265473,0.800,0.2109,0.03469,1.04559,5.834855473,6.144028195
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_7,11,7,hs,HS1,7.70,11.91,5.33,38.61349678,5.090765424,2.22308961,3.493303201,7.313855034,10.80715823,2.720,1.03081,0.07254,3.82335,14.63050823,13.48886519
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_8,11,8,fs,FS2,5.00,8.43,3.71,36.97566115,2.504443548,1.51352733,1.836084346,4.017970878,5.854055224,1.120,0.52822,0.03308,1.6813,7.535355224,6.789043261
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_9,11,9,hs,HS2,4.17,7.01,3.10,38.8592356,1.606240476,0.91975095,1.163636364,2.525991426,3.68962779,0.740,0.37949,0.01064,1.13013,4.81975779,4.521801961
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2009,3,11_10,11,10,fs,FS1,7.34,10.21,4.25,38.85960169,4.172931273,1.46812036,3.037090909,5.641051633,8.678142542,1.800,0.51712,0.02219,2.33931,11.01745254,11.8020143
