contributor,family,species,age (months),total height (cm),stem diameter at base (mm),leaf area (cm2),total leaf mass (g),total root mass (g),stem mass (g),Single leaf area (cm2),lma (g cm-2),Plant functional type,Growing condition,Status,Light,Other notes about growing conditions,Location,Lat,Long,Vegetation,map,mat,reference
Baltzer 2007,Aceraceae,AR,2,3.9,,8.19,0.0252,0.0245,0.016,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 209
Baltzer 2007,Aceraceae,AR,2,4.4,,18.28,0.052,0.0255,0.0168,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 210
Baltzer 2007,Aceraceae,AR,2,4.2,,16.47,0.0502,0.0161,0.0139,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 211
Baltzer 2007,Aceraceae,AR,2,3.4,,10.58,0.0304,0.0248,0.0178,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 212
Baltzer 2007,Aceraceae,AR,2,4.8,,15.13,0.0491,0.021,0.0151,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 213
Baltzer 2007,Aceraceae,AR,2,5.9,,15.9,0.0606,0.0255,0.0162,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 214
Baltzer 2007,Aceraceae,AR,2,2.3,,10.47,0.0321,0.0184,0.0131,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 215
Baltzer 2007,Aceraceae,AR,2,3.2,,7.78,0.0253,0.0235,0.015,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 216
Baltzer 2007,Aceraceae,AR,2,,,10.83,0.0306,0.025,0.0131,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 217
Baltzer 2007,Aceraceae,AR,2,5.8,,8.71,0.0188,0.0124,0.0135,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 218
Baltzer 2007,Aceraceae,AR,2,3.6,,3.23,0.0048,0.0021,0.0036,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 219
Baltzer 2007,Aceraceae,AR,2,4.3,,2.27,0.0018,0.0016,0.0024,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 220
Baltzer 2007,Aceraceae,AR,2,6.4,,2.86,0.0037,0.0013,0.004,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 221
