"","var_in","method","unit_in","var_out","notes"
"1","Diam","","mm","d.ba",NA
"2","Ht","","cm","h.t",NA
"3","SF","","cm2","a.lf",NA
"4","SLA","","m2.kg","lf.ma",NA
"5","Lf","m2","g","m.lf",NA
"6","Stem","m2","g","m.st",NA
"7","Root","m2","g","m.rt",NA
"8","Sht","m2","g","m.so",NA
"9","Tot","m2","g","m.to",NA
"10","Soil",NA,NA,NA,NA
"11","H2O",NA,NA,NA,NA
"12","P",NA,NA,NA,NA
"13","SpID",NA,NA,"species",NA
"14","Ind",NA,NA,NA,NA
"15","Lv",NA,NA,NA,NA
"16","Lft",NA,NA,NA,NA
"17","Cot",NA,NA,NA,NA
