Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
D1964,-98.38986,55.92019,1964,1999,Dry,A,1,810,8.4,7.7,6.4,8618.88,8242.98,1476,375.9,0,375.9,1434.3,41.7,0,6766.98,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,2,550,4.7,4.5,3.4,2281.32,2146.42,569.2,134.9,0,134.9,545.3,23.9,0,1577.22,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,3,528,5.3,5,4.4,3515.89,3315.89,470.5,200,0,200,446.3,24.2,0,2845.39,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,4,410,3.4,3.1,2.4,854.44,779.04,217.7,75.4,0,75.4,212.1,5.6,0,561.34,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,5,613,4.6,4.4,3.7,2384.08,2251.18,331.7,132.9,0,132.9,318.1,13.6,0,1919.48,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,6,366,2.9,2.9,2,688.24,623.54,169.2,64.7,0,64.7,164,5.2,0,454.34,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,7,762,7.9,7.7,6.5,8415.26,7874.26,1380.8,541,0,541,1327,53.8,0,6493.46,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,8,635,6.9,6.4,4.9,4184.87,3895.95,704.7,288.92,0,288.92,675.8,28.9,0,3191.25,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,9,617,5.2,5,3.9,2853.71,2705.11,358.7,148.6,0,148.6,342.7,16,0,2346.41,,
D1964,-98.38986,55.92019,1964,1999,Dry,A,10,640,5.8,5.3,4.7,3400.11,3256.88,453.1,143.23,0,143.23,434.9,18.2,0,2803.78,,
D1981,-98.4826,55.86407,1981,1999,Dry,A,1,225,2.09,1.94,0.73,201.8,175.7,45.5,26.1,0,26.1,40.4,5.1,0,130.2,,
D1981,-98.4826,55.86407,1981,1999,Dry,A,2,232,2.02,1.99,0.82,239.1,208.5,56.9,30.6,0,30.6,49.1,7.8,0,151.6,,
D1981,-98.4826,55.86407,1981,1999,Dry,A,3,274,1.87,1.73,,190,171,18,19,0,19,13.9,4.1,0,153,,
D1981,-98.4826,55.86407,1981,1999,Dry,A,4,414,4.22,3.82,2.49,1266.51,1126.41,296.8,140.1,0,140.1,275.1,21.7,0,829.61,,
D1981,-98.4826,55.86407,1981,1999,Dry,A,5,91,0.69,0.55,,10.2,7.7,1.1,2.5,0,2.5,0.5,0.6,0,6.6,,
D1981,-98.4826,55.86407,1981,2000,Dry,A,6,275.5,3,2.6,1.6,443.3,404.2,103.7,39.1,0,39.1,99,4.7,0,300.5,,
D1981,-98.4826,55.86407,1981,2000,Dry,A,7,159,2.2,2,0.35,163.9,145.2,45.5,18.7,0,18.7,43.3,2.2,0,99.7,,
