"var_in","method","unit_in","var_out","notes"
"Height","","cm","h.t",NA
"D0","","cm","d.ba",NA
"DBH","","cm","d.bh",NA
"stemMass","m3","g","m.st",NA
"TotFol","m3","g","m.lf",NA
"Sapwood","q","cm2","a.ssbh",NA
"Root","m4","g","m.rc",NA
"Long",NA,NA,longitude,NA
"Lat",NA,NA,latitude,NA
"Species",NA,NA,"species",NA
"D10",NA,NA,NA,NA
"DWT",NA,NA,NA,NA
"TotWood",NA,NA,NA,NA
"TotBranch",NA,NA,NA,NA
"OldFol",NA,NA,NA,NA
"NewFol",NA,NA,NA,NA
"OldBranch",NA,NA,NA,NA
"NewBranch",NA,NA,NA,NA
"Cones",NA,NA,NA,NA
"Stem",NA,NA,NA,NA
