lookupVariable,lookupValue,newVariable,newValue,source
species,A,species,Populus tremuloides,from paper[D Barneche]
species,BI,species,Betula papyrifera,from paper[D Barneche]
species,B,species,Picea mariana,from paper[D Barneche]
species,JP,species,Pinus banksiana,from paper[D Barneche]
species,T,species,Larix laricina,from paper[D Barneche]
species,W,species,Salix spp.,from paper[D Barneche]
species,BS,species,Picea mariana,from paper[D Barneche]
,,growingCondition,FW,from paper[D Barneche]
,,vegetation,BorF,from paper[D Barneche]
,,location,"Near Thompson and Leaf Rapids, Manitoba, Canada",from paper[D Barneche]
species,Populus tremuloides,pft,DA,
species,Betula papyrifera,pft,DA,
species,Picea mariana,pft,EG,
species,Pinus banksiana,pft,EG,
species,Larix laricina,pft,DG,
species,Salix spp.,pft,DA,
species,Populus tremuloides,family,Salicaceae,
species,Betula papyrifera,family,Betulaceae,
species,Picea mariana,family,Pinaceae,
species,Pinus banksiana,family,Pinaceae,
species,Larix laricina,family,Pinaceae,
species,Salix spp.,family,Salicaceae,
