"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Brown-ABGR","Brown","ABGR",8,0,NA,NA,1.40208,1.40208,0.6096,0.21600432,NA,0.09697968,NA,2.2549801145817,1.66579372791255,0.27281065816052,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.291863507960159,0,NA,NA
"Brown-ABGR","Brown","ABGR",7,0,NA,NA,1.34112,1.34112,1.0668,0.5248152,NA,0.33602688,NA,4.20198738319624,3.31240868417993,0.79915730841587,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.893831993127986,0,NA,NA
"Brown-ABGR","Brown","ABGR",6,0,NA,NA,1.12776,1.12776,0.57912,0.20498184,NA,0.092988,NA,1.76007476387941,1.32258311550808,0.198039780491851,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.263406815934043,0,NA,NA
"Brown-ABGR","Brown","ABGR",4,0,NA,NA,0.94488,0.94488,0.64008,0.15699096,NA,0.0709884,NA,1.71103643970938,1.32481088449621,0.202695353680025,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.321779517526075,0,NA,NA
"Brown-ABGR","Brown","ABGR",9,1.016,NA,NA,1.73736,1.73736,0.97536,0.41499864,NA,0.23301432,NA,4.62952028296818,3.51184371178306,0.865402853017022,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.747170580378006,8.10731966555997e-05,NA,NA
"Brown-ABGR","Brown","ABGR",8,1.016,NA,NA,1.6764,1.524,1.00584,0.5438664,NA,0.3690036,NA,4.31345149093732,3.33019370174949,0.807311974828277,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.794598400421532,8.10731966555997e-05,NA,NA
"Brown-ABGR","Brown","ABGR",10,1.778,NA,NA,2.1336,2.1336,1.18872,0.4858056,NA,0.3079944,NA,6.92049221565217,5.24544075053031,1.57859515077992,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.1098109890185,0.000248286664757774,NA,NA
"Brown-ABGR","Brown","ABGR",17,2.54,NA,NA,2.8956,2.46888,1.73736,0.6109992,NA,0.38701152,NA,12.2348482185676,9.51322529857626,3.90191891833944,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",2.37066134340639,0.000506707479097498,NA,NA
"Brown-ABGR","Brown","ABGR",42,2.794,NA,NA,2.31648,2.01168,1.34112,1.9178208,NA,1.3399344,NA,7.60728887004026,5.87971408156457,1.89449210093036,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.41261937852717,0.000613116049707972,NA,NA
"Brown-ABGR","Brown","ABGR",8,2.794,NA,NA,2.71272,2.40792,1.55448,1.8248328,NA,1.242864,NA,10.4861597995039,8.07614229935978,3.04656854500899,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.89784246051093,0.000613116049707972,NA,NA
"Brown-ABGR","Brown","ABGR",10,3.302,NA,NA,2.8956,2.7432,1.79832,1.2120192,NA,0.77914872,NA,13.8625195002761,10.6945689278692,4.64504625516898,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",2.53994217802328,0.000856335639674771,NA,NA
"Brown-ABGR","Brown","ABGR",12,4.572,NA,NA,4.2672,3.53568,1.58496,1.353996,NA,0.9409932,NA,14.8369053266868,10.9940030792104,4.65059142832941,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.97299731381067,0.00164173223227589,NA,NA
"Brown-ABGR","Brown","ABGR",12,5.334,NA,NA,3.74904,3.74904,1.61544,4.2860664,NA,3.1810968,NA,15.9624756728887,11.7811896550742,5.12271696027536,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",2.04961148465021,0.00223457998281997,NA,NA
"Brown-ABGR","Brown","ABGR",18,5.842,NA,NA,4.35864,3.74904,1.58496,2.4852744,NA,1.2591936,NA,15.6287217428943,11.5130417169679,4.93123056624584,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.97299731381067,0.00268048256442576,NA,NA
