treenr,site,altitude,age,socstatus,dbh,height,hcb,cw,leaflong,la,wf,FYnb,MRnb,wbr
1,adlisberg,670,15,b,3.8,3.3,0.2,,5,27.1,1.75,7.85,135,1.590425532
2,adlisberg,670,15,m,5,4.3,0.2,,5,86.6,4.84,24.68,123,6.227264574
3,adlisberg,670,15,m,6,4.1,0.2,,5,61.4,3.84,17.35,126,3.83699115
4,adlisberg,670,15,d,6.3,4.8,0.2,,5,50.5,3.41,17.63,125,4.425555556
5,adlisberg,670,15,d,7,5.6,0.3,,5,66.7,4.83,21.8,128,4.731403509
6,adlisberg,670,15,d,1.8,2.1,,,,10,0.72,2.35,99,0.460904523
7,adlisberg,670,15,d,2.5,2.8,,,,16.4,1.18,4.38,96,1.054693878
8,adlisberg,670,15,d,2.5,2.5,,,,20.2,1.49,5.23,96,1.178367347
9,adlisberg,670,15,d,3.3,3.2,,,,27.1,1.99,6.76,99,1.406984925
10,adlisberg,670,15,d,3.5,3.5,,,,21.9,1.72,5.42,94,1.073814433
11,adlisberg,670,15,d,4,3.4,,,,33.2,2.47,8.56,98,1.853232323
12,adlisberg,670,15,d,5.5,5,,,,44,3.27,10.77,108,1.907884615
13,melera,1400,17,b,5.5,4.8,,,,50,3.52,13.1,119,2.46173516
14,melera,1400,17,m,9.6,6.6,,,,109.7,8.45,33.54,123,6.590358744
15,melera,1400,17,d,12.5,7.6,,,,147,13.97,57.16,119,12.13045662
16,adlisberg,670,24,d,5.2,4.8,1.6,1.6,6,21.9,1.37,5.4,116,1.13
17,adlisberg,670,24,d,5.4,5.2,1.8,1.4,7,23.6,1.52,5.8,120,1.116363636
18,adlisberg,670,24,b,6.2,8.2,1.2,1.4,5,27.8,1.94,7.1,111,1.42492891
19,adlisberg,670,24,b,6.2,6.4,1.6,1.4,6,28.1,1.95,7.4,108,1.607692308
20,adlisberg,670,24,d,7.5,6.8,1.1,1.6,5,34,2.34,8.8,115,1.753023256
21,adlisberg,670,24,d,7.7,7,2.8,1.8,7,32.1,2.02,8.7,111,2.103222749
22,adlisberg,670,24,d,8.2,8.4,3.6,2,6,51.8,3.37,13.2,114,2.798224299
23,adlisberg,670,24,d,9.2,7.6,1,2.2,6,66.1,4.45,16.3,111,3.275118483
24,adlisberg,670,25,b,4.5,4.5,2.1,,,15.1,1.2,4.45,109,0.929186603
25,adlisberg,670,25,b,5.7,6,2.2,,,23.1,1.78,5.78,102,1.081386139
26,adlisberg,670,25,b,6.1,7.4,4,,,28.9,2.3,8.1,115,1.46744186
27,adlisberg,670,25,m,7.2,5.9,2.6,,,38.1,3.12,10.4,105,1.953170732
28,adlisberg,670,25,d,8.2,8.4,4,,,43.7,3.8,12.06,104,2.111764706
29,adlisberg,670,25,d,8.3,8.8,3.1,,,47.5,3.66,12.94,106,2.621553398
30,vordemwald,480,25,b,7.2,8.4,4.6,1.8,5,17.8,1.06,4.75,133,0.978626609
31,vordemwald,480,25,m,9.3,11.4,6,2.2,5,15.8,1.07,6.28,115,1.850930233
32,vordemwald,480,25,m,11.2,12.4,6.6,2.6,5,24.2,1.58,9.78,144,2.428196721
33,vordemwald,480,25,d,12.6,12.8,5.8,2.8,5,56.1,3.85,17.7,122,4.122972973
34,vordemwald,480,25,d,15.1,13.8,6.4,2.8,5,51.3,3.3,19.26,119,5.494520548
35,vordemwald,480,25,d,16.8,13,6,3,5,110,6.82,35.48,112,9.915849057
36,chaneaz,800,30,b,4.8,6,2.8,0.8,,8.5,0.62,2.2,126,0.353451327
37,chaneaz,800,30,m,7.2,9.8,5,1,,32.2,2.02,7.13,119,1.235707763
38,chaneaz,800,30,m,9.4,11.4,6.4,1.2,,41.9,3.25,11.2,109,2.108851675
39,chaneaz,800,30,d,12.6,11.9,5.4,1.4,,85.8,7.3,25.49,112,4.723584906
40,vordemwald,480,31,b,7.2,8,3.2,1.9,6,25.9,1.48,6.73,147,1.244696356
41,vordemwald,480,31,m,9.3,10.6,3.4,2.1,6,51,2.99,12.75,146,2.192926829
42,vordemwald,480,31,m,10.8,12.8,5,2.3,5,56.4,3.57,16.97,145,3.356530612
