"dataset","location","latitude","longitude","vegetation","map","mat","species","family","pft","age","h.t","h.c","d.ba","d.cr","c.d","growingCondition","status","light"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",30,0.93,0.257,0.0163,1.06,0.673,"FW",0,"8.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",48,3.06,1.68,0.0473,1.82,1.38,"FW",0,"7.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",18,0.44,0.13,0.0064,0.305,0.31,"FW",0,"2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",22,0.64,0.2,0.012,0.565,0.44,"FW",0,"1.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",50,2.13,0.718,0.035,1.215,1.412,"FW",0,"3.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",50,1.895,1.065,0.0333,0.74,0.83,"FW",0,"2.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",59,2.6,1.14,0.0515,1.835,1.46,"FW",0,"3.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",43,1.07,0.1,0.0285,1.115,0.97,"FW",0,"5.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",47,2.46,0.58,0.0416,1.615,1.88,"FW",0,"6.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",32,1.65,0.21,0.0255,1.315,1.44,"FW",0,"7.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",20,0.59,0.095,0.0076,0.28,0.495,"FW",0,"2.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",36,1.17,0.21,0.02625,1.1,0.96,"FW",0,"3.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",47,1.73,0.29,0.0305,1.38,1.44,"FW",0,"5.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",56,2.68,0.82,0.0634,1.79,1.86,"FW",0,"7.9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.79,0.15,0.0123,0.65,0.64,"FW",0,"5.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",41,1.27,0.08,0.0296,1.045,1.19,"FW",0,"9.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",33,0.83,0.1,0.0146,0.78,0.73,"FW",0,"2.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",23,0.415,0.065,0.00805,0.365,0.35,"FW",0,"4.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",28,0.94,0.07,0.01605,0.745,0.87,"FW",0,"6.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.63,0.1,0.01235,0.565,0.53,"FW",0,"3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",16,0.54,0.07,0.00985,0.36,0.47,"FW",0,"5.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0685,2.43,NA,"FW",0,"10.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,1.196,0.526,0.0136,1.09,0.67,"FW",0,"3.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",22,0.55,0.16,0.0075,0.505,0.39,"FW",0,"1.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.73,0.13,0.0079,0.51,0.6,"FW",0,"2.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0606,2.36,NA,"FW",0,"9.9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",47,1.52,0,0.02,1.185,1.52,"FW",0,"2.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",26,0.57,0.17,0.0107,0.535,0.4,"FW",0,"4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",44,1.84,0.26,0.02815,1.03,1.58,"FW",0,"5.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",39,2.1,0.22,0.045,1.575,1.88,"FW",0,"11.5"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0885,2.725,NA,"FW",0,"13.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",30,1.41,0.43,0.0236,1.045,0.98,"FW",0,"4.9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0675,2.35,NA,"FW",0,"9.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",50,3.115,0.32,0.0655,1.845,2.795,"FW",0,"8.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.735,0.05,0.0175,0.875,0.685,"FW",0,"5.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",63,3.4,1.22,0.0675,1.7,2.18,"FW",0,"10.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,1.605,0.505,0.029,1.41,1.1,"FW",0,"6.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.72,0.52,0.01065,0.57,0.2,"FW",0,"8.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0785,2.095,NA,"FW",0,"14"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",50,3.74,2.14,0.054,1.415,1.6,"FW",0,"3.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,NA,NA,0.0685,2.02,NA,"FW",0,"7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",26,0.94,0.24,0.0156,0.525,0.7,"FW",0,"11.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.95,0.5,0.01635,0.375,0.45,"FW",0,"9.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.342,-0.008,0.00465,0.225,0.35,"FW",0,"9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.59,0.07,0.0105,0.565,0.52,"FW",0,"7.9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.41,0.04,0.00695,0.32,0.37,"FW",0,"16.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.55,0,0.0079,0.44,0.55,"FW",0,"35.4"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.615,0.085,0.01005,0.53,0.53,"FW",0,"28.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",31,0.75,0.35,0.0131,0.485,0.4,"FW",0,"5.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",61,3.03,0.93,0.05,1.755,2.1,"FW",0,""
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,2.2,NA,0.0362,NA,NA,"FW",0,""
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",12,0.62,0.3,0.0093,NA,0.32,"FW",0,"36.2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.7,0.28,NA,0.34,0.42,"FW",0,"4.6"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",12,0.48,0.19,0.006,0.18,0.29,"FW",0,"17.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.46,0.19,NA,0.27,0.27,"FW",0,"1.8"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",27,1.75,1.75,0.0283,NA,NA,"FW",0,"20.1"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",14,0.52,0.23,0.00505,0.32,0.29,"FW",0,"9"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.52,0.2,NA,0.215,0.32,"FW",0,"3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.87,0.13,NA,0.655,0.74,"FW",0,"2"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,0.595,0.175,NA,0.34,0.42,"FW",0,"7.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,1.36,1.36,NA,NA,NA,"FW",0,"19.3"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,1.17,0.52,NA,0.92,0.65,"FW",0,"6.7"
"Claveau2002","Duparquet Lake",48,-79,"BorF",857,0.8,"Picea glauca","Pinaceae","EG",NA,1.93,0.78,NA,1.35,1.15,"FW",0,"5.5"
