dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,age,a.lf,a.ssbax,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,30,0.719258759,,,,,,,,,,,,,,,0.93,,0.0163,,,,0.0832617,,,,0.11335,0.1966117,0.05728,,,,,,0.079637543,,,,,,,,,,,FW,0,8.8
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,48,4.27025963,,,,,,,,,,,,,,,3.06,,0.0473,,,,0.6756761,,,,1.59776,2.2734361,0.44563,,,,,,0.104356652,,,,,,,,,,,FW,0,7.2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,18,0.059858389,,,,,,,,,,,,,,,0.44,,0.0064,,,,0.005827,,,,0.0066,0.012427,0.00279,,,,,,0.046610008,,,,,,,,,,,FW,0,2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,22,0.219541928,,,,,,,,,,,,,,,0.64,,0.012,,,,0.0201447,,,,0.02482,0.0449647,0.01233,,,,,,0.056162393,,,,,,,,,,,FW,0,1.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,50,1.802846177,,,,,,,,,,,,,,,2.13,,0.035,,,,0.2458714,,,,0.54577,0.7916414,0.19519,,,,,,0.108267695,,,,,,,,,,,FW,0,3.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,50,0.166620214,,,,,,,,,,,,,,,1.895,,0.0333,,,,0.0172979,,,,0.41107,0.4283679,0.01891,,,,,,0.113491632,,,,,,,,,,,FW,0,2.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,59,4.258835852,,,,,,,,,,,,,,,2.6,,0.0515,,,,0.5168181,,,,1.26859,1.7854081,0.54856,,,,,,0.128805152,,,,,,,,,,,FW,0,3.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,43,1.827837721,,,,,,,,,,,,,,,1.07,,0.0285,,,,0.2392073,,,,0.29186,0.5310673,0.17941,,,,,,0.098154228,,,,,,,,,,,FW,0,5.1
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,47,4.465191066,,,,,,,,,,,,,,,2.46,,0.0416,,,,0.6529174,,,,1.05336,1.7062774,0.47501,,,,,,0.106380666,,,,,,,,,,,FW,0,6.2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,32,2.081952198,,,,,,,,,,,,,,,1.65,,0.0255,,,,0.2668149,,,,0.3602,0.6270149,0.17891,,,,,,0.085933769,,,,,,,,,,,FW,0,7.2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,20,0.059801884,,,,,,,,,,,,,,,0.59,,0.0076,,,,0.0063671,,,,0.00964,0.0160071,0.00219,,,,,,0.03662092,,,,,,,,,,,FW,0,2.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,36,1.137113543,,,,,,,,,,,,,,,1.17,,0.02625,,,,0.1612499,,,,0.19023,0.3514799,0.08723,,,,,,0.076711777,,,,,,,,,,,FW,0,3.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,47,2.442444917,,,,,,,,,,,,,,,1.73,,0.0305,,,,0.3174897,,,,0.68708,1.0045697,0.24425,,,,,,0.100002255,,,,,,,,,,,FW,0,5.2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,56,5.58310288,,,,,,,,,,,,,,,2.68,,0.0634,,,,0.7967645,,,,2.25023,3.0469945,0.77371,,,,,,0.138580645,,,,,,,,,,,FW,0,7.9
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.79,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,5.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,41,1.577118012,,,,,,,,,,,,,,,1.27,,0.0296,,,,0.1758224,,,,0.35116,0.5269824,0.14178,,,,,,0.089898155,,,,,,,,,,,FW,0,9.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,33,0.387606469,,,,,,,,,,,,,,,0.83,,0.0146,,,,0.051484,,,,0.05932,0.110804,0.02481,,,,,,0.06400822,,,,,,,,,,,FW,0,2.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,23,0.150004963,,,,,,,,,,,,,,,0.415,,0.00805,,,,0.0177634,,,,0.01556,0.0333234,0.00607,,,,,,0.040465328,,,,,,,,,,,FW,0,4.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,28,0.712078007,,,,,,,,,,,,,,,0.94,,0.01605,,,,0.0924451,,,,0.07024,0.1626851,0.03224,,,,,,0.045275938,,,,,,,,,,,FW,0,6.4
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.63,,0.01235,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,16,0.078672122,,,,,,,,,,,,,,,0.54,,0.00985,,,,0.0090798,,,,0.009899716,0.018979516,0.0026,,,,,,0.033048555,,,,,,,,,,,FW,0,5.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,10.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,1.196,,0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,3.8
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,22,0.125102044,,,,,,,,,,,,,,,0.55,,0.0075,,,,0.0151318,,,,0.01774,0.0328718,0.00686,,,,,,0.054835235,,,,,,,,,,,FW,0,1.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.73,,0.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,2.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,9.9
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,47,0.695134977,,,,,,,,,,,,,,,1.52,,0.02,,,,0.0918415,,,,0.23263,0.3244715,0.09019,,,,,,0.129744586,,,,,,,,,,,FW,0,2.4
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,26,0.27880972,,,,,,,,,,,,,,,0.57,,0.0107,,,,0.0339504,,,,0.02964,0.0635904,0.0134,,,,,,0.048061452,,,,,,,,,,,FW,0,4
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,44,1.262160344,,,,,,,,,,,,,,,1.84,,0.02815,,,,0.1799169,,,,0.37532,0.5552369,0.12593,,,,,,0.099773377,,,,,,,,,,,FW,0,5.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,39,4.05388937,,,,,,,,,,,,,,,2.1,,0.045,,,,0.4856149,,,,0.98587,1.4714849,0.46701,,,,,,0.11520048,,,,,,,,,,,FW,0,11.5
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,13.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,30,0.858743491,,,,,,,,,,,,,,,1.41,,0.0236,,,,0.1071072,,,,0.21674,0.3238472,0.07249,,,,,,0.084414031,,,,,,,,,,,FW,0,4.9
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,9.4
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,50,5.814323405,,,,,,,,,,,,,,,3.115,,0.0655,,,,0.9774628,,,,1.82762,2.8050828,0.81336,,,,,,0.139889019,,,,,,,,,,,FW,0,8.1
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.735,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,5.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,63,5.565518545,,,,,,,,,,,,,,,3.4,,0.0675,,,,0.9460495,,,,2.53512,3.4811695,0.72509,,,,,,0.130282559,,,,,,,,,,,FW,0,10.1
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,1.605,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,6.8
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.72,,0.01065,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,8.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0785,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,14
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,50,2.781960796,,,,,,,,,,,,,,,3.74,,0.054,,,,0.4048377,,,,1.90477,2.3096077,0.49226,,,,,,0.176947138,,,,,,,,,,,FW,0,3.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,,,0.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,26,0.665117125,,,,,,,,,,,,,,,0.94,,0.0156,,,,0.0880977,,,,0.08263,0.1707277,0.03552,,,,,,0.053404128,,,,,,,,,,,FW,0,11.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.95,,0.01635,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,9.8
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.342,,0.00465,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,9
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.59,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,7.9
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.41,,0.00695,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,16.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.55,,0.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,35.4
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.615,,0.01005,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,28.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,31,0.094151991,,,,,,,,,,,,,,,0.75,,0.0131,,,,0.0107682,,,,0.042639009,0.053407209,0.01048,,,,,,0.111309382,,,,,,,,,,,FW,0,5.3
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,61,3.39064664,,,,,,,,,,,,,,,3.03,,0.05,,,,0.3785725,,,,1.11914,1.4977125,0.23822,,,,,,0.070257985,,,,,,,,,,,FW,0,
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,2.2,,0.0362,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,12,0.162205321,,,,,,,,,,,,,,,0.62,,0.0093,,,,0.0147272,,,,0.01751,0.0322372,0.00694,,,,,,0.042785279,,,,,,,,,,,FW,0,36.2
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,4.6
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,12,0.064676879,,,,,,,,,,,,,,,0.48,,0.006,,,,0.0057031,,,,0.00693,0.0126331,0.00202,,,,,,0.031232181,,,,,,,,,,,FW,0,17.7
Claveau2005,Duparquet Lake,48,-79,BorF,857,0.8,-,Picea glauca,Pinaceae,EG,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FW,0,1.8
