"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"a.lf","e1,a7","m2","a.lf",NA
"a.ssbaX",NA,NA,NA,NA
"h.t","?","m","h.t",NA
"d.ba","d4","m","d.ba",NA
"m.lf","m3,x6","kg","m.lf",NA
"m.st","m3","kg","m.st",NA
"m.so","m3","kg","m.so",NA
"m.br","m3","kg","m.br",NA
"ma.ilf","m3,x1","kg.m2","ma.ilf",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"light","?",NA,"light",NA
