species,tree,sampled.leaves.#,individual.leaf.mass.g,individual.leaf.area.cm2,specific.leaf.area.cm2/g,biomass.samples,diameter.cm,height.cm,branch.biomass.g,trunk.biomass.g,total.leaf.biomass.g,total.aboveground.biomass.g,total.belowground.biomass.g,total.plant.biomass.g,root.length.cm
Antirrhoea trichantha,1,1,1.211,106.25,87.7374071,,,,,,,,,,
Antirrhoea trichantha,1,2,0.552,72.7,131.7028986,,,,,,,,,,
Antirrhoea trichantha,1,3,0.9,89.8,99.77777778,,,,,,,,,,
Antirrhoea trichantha,1,4,0.721,121.8,168.9320388,,,,,,,,,,
Antirrhoea trichantha,1,5,1.55,113.4,73.16129032,,,,,,,,,,
Antirrhoea trichantha,2,1,1.084,93.58,86.32841328,,,,,,,,,,
Antirrhoea trichantha,2,2,0.592,69.89,118.0574324,,,,,,,,,,
Antirrhoea trichantha,2,3,0.626,60.2,96.16613419,,,,,,,,,,
Antirrhoea trichantha,2,4,0.693,62.4,90.04329004,,,,,,,,,,
Antirrhoea trichantha,2,5,0.293,43.3,147.78157,,,,,,,,,,
Antirrhoea trichantha,3,1,0.063,15.12,240,,,,,,,,,,
Antirrhoea trichantha,4,1,0.338,63.98,189.2899408,,,,,,,,,,
Antirrhoea trichantha,4,2,0.34,36.43,107.1470588,,,,,,,,,,
Antirrhoea trichantha,4,3,0.177,38.59,218.0225989,,,,,,,,,,
Antirrhoea trichantha,4,4,0.211,41.35,195.971564,,,,,,,,,,
Antirrhoea trichantha,5,1,0.608,119.08,195.8552632,,,,,,,,,,
Antirrhoea trichantha,5,2,0.619,117.4,189.6607431,,,,,,,,,,
Antirrhoea trichantha,5,3,0.271,53.09,195.904059,,,,,,,,,,
Antirrhoea trichantha,5,4,0.729,121.96,167.297668,,,,,,,,,,
Antirrhoea trichantha,5,5,0.751,123.85,164.9134487,,,,,,,,,,
Cordia alliodora,1,1,0.129,22.35,173.255814,,,,,,,,,,
Cordia alliodora,1,2,0.483,48.78,100.9937888,,,,,,,,,,
Cordia alliodora,1,3,0.149,19.18,128.7248322,,,,,,,,,,
Cordia alliodora,1,4,0.341,48.34,141.7595308,,,,,,,,,,
Cordia alliodora,1,5,0.268,35.08,130.8955224,,,,,,,,,,
Cordia alliodora,2,1,0.804,48.42,60.2238806,,,,,,,,,,
Cordia alliodora,2,2,1.056,57.07,54.04356061,,,,,,,,,,
Cordia alliodora,2,3,1.604,79.8,49.75062344,,,,,,,,,,
Cordia alliodora,2,4,1.678,102.3,60.96543504,,,,,,,,,,
Cordia alliodora,2,5,2.795,149.61,53.52772809,,,,,,,,,,
Cordia alliodora,3,1,0.067,12.5,186.5671642,,,,,,,,,,
Cordia alliodora,3,2,0.081,10.89,134.4444444,,,,,,,,,,
Cordia alliodora,3,3,0.056,11.24,200.7142857,,,,,,,,,,
Cordia alliodora,3,4,0.071,12.89,181.5492958,,,,,,,,,,
Cordia alliodora,3,5,0.087,16.16,185.7471264,,,,,,,,,,
Cedrela odorata,1,1,8.98,1168.22,130.091314,,,,,,,,,,
Cedrela odorata,1,2,11.73,1172.01,99.91560102,,,,,,,,,,
Cedrela odorata,1,3,16.57,1425.72,86.04224502,,,,,,,,,,
Cedrela odorata,1,4,6.96,1202.6,172.7873563,,,,,,,,,,
Cedrela odorata,1,5,11.504,1375.54,119.5705841,,,,,,,,,,
Cedrela odorata,2,1,25.9,1677.69,64.77567568,,,,,,,,,,
Cedrela odorata,2,2,15.96,1044.86,65.46741855,,,,,,,,,,
Cedrela odorata,2,3,13.46,774.71,57.5564636,,,,,,,,,,
Cedrela odorata,2,4,13.47,884.88,65.69265033,,,,,,,,,,
Cedrela odorata,2,5,14.31,1269.69,88.72746331,,,,,,,,,,
Cedrela odorata,3,1,13.81,1287.8,93.2512672,,,,,,,,,,
Cedrela odorata,3,2,11.95,585.8,49.0209205,,,,,,,,,,
Cedrela odorata,3,3,18.86,1109.15,58.80965005,,,,,,,,,,
Cedrela odorata,3,4,19.46,978.87,50.3016444,,,,,,,,,,
Cedrela odorata,3,5,11.68,1010.74,86.5359589,,,,,,,,,,
Hura crepitans,1,1,0.991,39.96,40.32290616,,,,,,,,,,
Hura crepitans,1,2,1.731,82.96,47.9260543,,,,,,,,,,
Hura crepitans,1,3,3.229,213.16,66.0142459,,,,,,,,,,
Hura crepitans,1,4,4.27,196.6,46.04215457,,,,,,,,,,
Hura crepitans,1,5,4.69,217.7,46.41791045,,,,,,,,,,
Hura crepitans,2,1,3.52,383.5,108.9488636,,,,,,,,,,
Hura crepitans,2,2,2.85,270.85,95.03508772,,,,,,,,,,
Hura crepitans,2,3,2.545,262.44,103.1198428,,,,,,,,,,
Hura crepitans,2,4,1.49,161.11,108.1275168,,,,,,,,,,
Hura crepitans,2,5,2.926,230.13,78.65003418,,,,,,,,,,
Hura crepitans,3,1,0.902,77.51,85.93126386,,,,,,,,,,
