"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,"-","vegetation",NA
"family",NA,"-","family",NA
"species",NA,"-","species",NA
"pft",NA,"-","pft",NA
"age","?","yr","age",NA
"h.t","?","m","h.t",NA
"d.ba","?","m","d.ba",NA
"d.bh","?","m","d.bh",NA
"m.so","m5","kg","m.so",NA
"m.rt","m5","kg","m.rt",NA
"m.to","?","kg","m.to",NA
"growingCondition",NA,"-","growingCondition",NA
