,,,m2,mm,m,m,m,kg,kg,kg,kg/m2,,,,,,,,,mm,oC,,,,,,
Contributor,Family,Species,a.lf,st diam at base ,Crown Width,h.t,h.c,m.lf,m.st,m.rt,lf.ma,pft,growingCondition,Light,Group,Location,Latitude,Longitude,Vegetation,map,mat,reference,Date.DD-MM-YY,Perturbation,LIMING 3t/ha,plot_ID,Subplot_ID
Sylvain Delagrange,Aceraceae,Acer saccharum,0.030387,5,0.295,0.19,0.1,0.000939,0.00068,0.000679,0.030901372,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,102,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.014413,3,0.2175,0.155,0.055,0.000557,0.003406,0.003406,0.038645667,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,102,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.014721,4,0.2225,0.155,0.045,0.000589,0.000403,0.000613,0.040010869,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,102,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.005908,3,0.12,0.155,0.11,0.000182,0.000416,0.000333,0.030805687,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,102,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.007732,3,0.15,0.17,0.06,0.000289,0.000378,0.00025,0.037377134,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,102,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.013602,5,2.7,0.2,0.18,0.000464,0.00078,0.001035,0.03411263,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,105,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.015362,5,1.74,0.15,0.09,0.000631,0.000745,0.000797,0.041075381,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,105,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.003963,2,0.405,0.095,0.02,0.000148,0.000149,0.00017,0.037345445,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,105,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.007079,3,0.9975,0.135,0.035,0.000246,0.000241,0.000325,0.034750671,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,105,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.005718,3,0.54,0.11,0.02,0.000262,0.000208,0.000184,0.045820217,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,13/08/09,PC,no,106,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.019636,3,2.42,0.125,0.11,0.000738,0.000548,0.000773,0.037584029,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,13/08/09,PC,no,106,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.002652,2,0.33,0,0.02,0.000098,0.000133,0.000139,0.036953243,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,13/08/09,PC,no,106,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.021043,4.2,2.55,0.21,0.07,0.000796,0.00101,0.000827,0.037827306,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,13/08/09,PC,no,106,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.024878,5.2,3.41,0.265,0.07,0.00111,0.001613,0.004604,0.044617735,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,13/08/09,PC,no,106,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.020915,6,2.89,0.262,0.22,0.00082,0.001353,0.001053,0.039206311,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,109,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.028762,5,4.41,0.19,0.065,0.000983,0.000728,0.000921,0.034177039,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,109,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.030178,6,4.205,0.4,0.24,0.001057,0.002351,0.00137,0.035025515,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,109,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.008059,4,1.14,0.298,0.06,0.000214,0.00063,0.000745,0.026554163,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,109,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.076594,8,4.48,0.3,0.27,0.00293,0.003407,0.003404,0.038253649,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,12/08/09,PC,no,109,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.012288,3.4,0.17,0.16,0.07,0.0003487,0.0010252,0.0017493,0.028377279,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,no,119,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.031066,4,0.315,0.345,0.14,0.0010792,0.0028993,0.003972,0.034738943,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,no,119,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.026321,3.6,0.265,0.24,0.12,0.000765,0.0015186,0.0017685,0.029064245,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,no,119,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.014111,2.1,0.215,0.175,0.08,0.0003603,0.0007364,0.0004871,0.025533272,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,no,119,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.021261,3.7,0.25,0.215,0.12,0.0007897,0.0014384,0.0027947,0.037143126,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,no,119,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.013096,3,0.1825,0.13,0.02,0.0004079,0.000786,0.0004821,0.031146915,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,126,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.009046,2,0.145,0.125,0.01,0.0003941,0.0006723,0.0002632,0.043566217,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,126,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.013148,2,0.1875,0.145,0.025,0.0003952,0.0007154,0.000436,0.030057803,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,126,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.0099,2,0.15,0.164,0.005,0.0003064,0.0006542,0.0002846,0.030949495,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,126,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.010712,2.5,0.175,0.132,0.015,0.0003641,0.0006727,0.0004066,0.033989918,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,126,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.020603,4,0.1525,0.255,0.075,0.0008202,0.0016672,0.0012947,0.039809736,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,132,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.0076,2,0.1925,0.238,0.05,0.0002997,0.0005504,0.000226,0.039434211,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,132,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.009397,2,0.1725,0.258,0.07,0.0002816,0.0008399,0.0001734,0.029967011,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,132,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.015354,4,0.1575,0.225,0.06,0.0005628,0.0013907,0.0007997,0.036654943,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,132,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.008359,2,0.175,0.217,0.075,0.0003062,0.0005225,0.0003598,0.036631176,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,5/08/09,PC,no,132,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.018206,4,0.2625,0.26,0.02,0.0007543,0.0018479,0.0015847,0.041431396,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,3/08/09,PC,no,138,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.03104,3.9,0.3325,0.312,0.06,0.0012209,0.0025718,0.0005795,0.039333119,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,3/08/09,PC,no,138,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.026843,3.6,0.31,0.21,0.055,0.0010477,0.0018172,0.0010611,0.03903066,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,3/08/09,PC,no,138,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.016351,3.4,0.215,0.21,0.024,0.0010152,0.0015885,0.0008055,0.062087946,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,3/08/09,PC,no,138,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.024155,3.7,0.255,0.195,0.059,0.0009604,0.0016057,0.0010308,0.039759884,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,3/08/09,PC,no,138,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.006799,2.8,0.125,0.125,0.03,0.000254,0.000231,0.000331,0.037358435,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,141,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.007713,3.1,0.1325,0.125,0.01,0.000251,0.00024,0.000384,0.032542461,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,141,B
Sylvain Delagrange,Aceraceae,Acer saccharum,0.006419,2.9,0.13,0.115,0.01,0.00021,0.00027,0.000246,0.032715376,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,141,C
Sylvain Delagrange,Aceraceae,Acer saccharum,0.019087,4.4,0.255,0.155,0.025,0.000879,0.000693,0.001521,0.046052287,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,141,D
Sylvain Delagrange,Aceraceae,Acer saccharum,0.006445,2.2,0.135,0.12,0.005,0.000201,0.000221,0.000129,0.031186967,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,141,E
Sylvain Delagrange,Aceraceae,Acer saccharum,0.005675,2.4,0.1225,0.125,0.005,0.00018,0.000176,0.000244,0.031718062,DA,FW,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,14/08/09,PC,no,142,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.056021,4.5,0.39,0.39,0.27,0.0016706,0.0036635,0.0021855,0.02982096,DA,FE,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,Yes,110,A
Sylvain Delagrange,Aceraceae,Acer saccharum,0.010781,1.8,0.1625,0.135,0.04,0.0002501,0.0004297,0.00081,0.023198219,DA,FE,under 20% PPFD,seedlings are grouped according to their plot_ID and subplot_ID,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,NA,4/08/09,PC,Yes,110,B
