,,,yr,m2,cm,cm,cm,cm,g,g,g,g,g,g,g.m2,,,%PPFD,,,,,,,,,,,
Contributor,Family,Species,age,a.lf,diameter,Crown.width,h.t,h.c,m.lf,m.st,m.br,m.rf,m.rc,m.rt,lf.ma,pft,growingCondition,light,group,location,latitude,longiture,vegetation,map,mat,reference,Site,ID,Seedbed
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.088981999,4.28,41.5,80.3,54.3,2.24000001,3.660000086,1.05,1.25,1.69,2.939999994,25.17363102,DA,FW,22.36,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,1,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.19680559,8.2,86,102.6,80.6,5.619999886,11.27999973,5.99,1.69,4.01,5.699999988,28.55609886,DA,FW,26.52,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,03B,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,20,0.592626601,15.93,119,252,222,21.70000076,83.38999939,30.05,6.33,30.8,37.13000011,36.61664991,DA,FW,33.28,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,6,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,16,0.383815158,10.6,101,180,103,11.60999966,38.88000107,18.8,2.7,15.48,18.17999959,30.24893475,DA,FW,27.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10A,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.127182997,5.97,65,96,89.8,3.339999914,5.96999979,2.51,1.48,2.53,4.00999999,26.2613713,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,14B,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,19,0.345977015,11.68,110,180.4,117.4,8.640000343,33.68000031,16.83,2.32,12.83,15.15000021,24.97275824,DA,FW,9.36,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,2,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.18230548,7.13,66,110.9,102.9,6.039999962,10.77000046,5.3,1.32,5.13,6.450000226,33.13120348,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,2,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.882556055,16.77,162.5,260.6,218.6,25.04000092,88.25,51.22,13.56,38.1,51.66000032,28.37213655,DA,FW,22.88,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,05A,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,19,0.467198627,14.56,110,236.1,215.1,13.82999992,77.30000305,19.89,13.24,31.15,44.39000034,29.60197041,DA,FW,22.36,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,05B,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,10,0.103960002,9.1,26,103.5,94.5,2.940000057,13.46000004,2.26,1.63,4.75,6.379999876,28.28010762,DA,FW,18.72,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,05C,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,16,0.569233498,12.06,81.5,207,173.5,21.10000038,53.18999863,17.84,1.91,18.75,20.66000092,37.06739054,DA,FW,29.12,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,6,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,16,0.894995489,13.9,120.5,201.8,143.8,26.61000061,63.56999969,35.08,4.33,30.75,35.07999897,29.73199413,DA,FW,29.12,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,8,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.083003,6.64,50,97.5,58.3,2.789999962,6.28000021,1.14,0.73,1.34,2.070000052,33.61324256,DA,FW,26,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,9,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.626855152,17.94,110.5,223,141.5,25.37999916,75.86000061,26.68,35.41,34.4,69.80999947,40.48782093,DA,FW,32.24,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10D,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.392237964,10.43,99,136.5,124,12.32999992,20.67000008,8.13,4.01,7.95,11.96000016,31.43499879,DA,FW,31.2,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,11B,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,9,0.546485218,14.72,115,196,192.3,20.26000023,38.88000107,29.82,4.48,16.18,20.66000044,37.07328135,DA,FW,26,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,12A,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.293818516,9.83,71,99,87.3,6.71999979,12.18000031,10.71,1.21,4.58,5.790000021,22.8712604,DA,FW,29.12,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,2,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,1.539279608,15.72,141.5,238.7,221.2,40.27999878,97.19999695,74.73,7.64,23.24,30.8799994,26.16808445,DA,FW,23.92,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,3,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.199508992,8.26,72,149,121,4.619999886,20.25,7.67,3.3,4.42,7.719999909,23.15685042,DA,FW,21.84,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,4,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.188883391,8.74,60,159.6,86.1,6.46999979,22.94000053,4.04,3.61,5.91,9.5200001,34.25393716,DA,FW,29.12,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,6,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.309315061,10.4,101.5,188.7,138.2,9.020000458,32.15999985,9.02,2.2,9.8,12.00000012,29.16120675,DA,FW,18.72,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,7,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.876382429,16.01,193,329.4,297.4,27.10000038,142.5299988,35.25,4.84,37.98,42.81999946,30.92257386,DA,FW,25,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,8,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.108415998,7.99,57.5,152.2,99.2,2.420000076,16.12000084,2.79,0.58,3.46,4.039999962,22.32142959,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,09B,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,22,0.848912846,18.27,164,244.2,244.2,21.61000061,82.88999939,37.68,4.1,39.09,43.18999898,25.45608858,DA,FW,24.96,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,9,0.019156,4.93,27,65.2,42.7,0.629999995,3.00999999,0.47,0.47,0.35,0.82,32.8878677,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,13,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,19,0.683230225,14.26,137.5,169.5,157,20.85000038,42.79000092,45.59,2.37,16.76,19.13000011,30.51680036,DA,FW,20.8,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,5,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.411005601,12.51,139.5,172.8,147.3,12.85999966,39.61000061,18.49,3.38,11.8,15.17999971,31.28911049,DA,FW,32.24,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,9,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.385818822,9.88,68,180.2,161.8,11.77999973,34.50999832,9.1,1.15,6.57,7.720000148,30.53246516,DA,FW,27.04,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,14,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.077540002,5.52,60,77.6,60.4,1.909999967,4.550000191,1.86,0.38,1.4,1.779999971,24.6324467,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,19,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,17,0.750422221,15.01,164,213.8,195.6,22.51000023,56.20999908,41.51,7.9,37.31,45.21000004,29.99644682,DA,FW,22.88,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,24,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,22,1.030121869,24.25,162.5,208.1,205.1,25.09000015,77.72000122,105.04,20.06,62.69,82.75000048,24.35634161,DA,FW,10.4,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,32B,DWM
