"var_in","method","unit_in","var_out","notes"
"Contributor",NA,NA,NA,NA
"Family",NA,NA,"family",NA
"Species",NA,NA,"species",NA
"age",NA,"yr","age",NA
"a.lf",NA,"m2","a.lf",NA
"diameter",NA,"mm","d.bh",NA
"Crown.width",NA,"cm","d.cr",NA
"h.t",NA,"cm","h.t",NA
"h.c",NA,"cm","h.c",NA
"m.lf",NA,"g","m.lf",NA
"m.st",NA,"g","m.st",NA
"m.br",NA,"g","m.br",NA
"m.rf",NA,"g","m.rf",NA
"m.rc",NA,"g","m.rc",NA
"m.rt",NA,"g","m.rt",NA
"lf.ma",NA,"g.m2","ma.ilf",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"light",NA,"-","light",NA
"group",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,NA,"latitude",NA
"longiture",NA,NA,"longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"reference",NA,NA,NA,NA
"Site",NA,NA,NA,NA
"ID",NA,NA,NA,NA
"Seedbed",NA,NA,NA,NA
"grouping",NA,NA,"grouping",NA
