,,,years,cm2,cm,cm,cm,cm,g,g,g,g,g,g,g.m2,g/l,g/m2,,,% PPFD,,-,,,,mm,oC,,years,-
Contributor,Family,Species,Age,LeafArea,Diam at colar height,CrownWidth,h.t,h.c,m.lf,m.st,m.br,m.rf,m.rc,m.rt,lf.ma,d.st,n.lf,pft,growingCondition,Light,Group,Location,Latitude,Longitude,Vegetation,map,mat,Reference,Last perturbation,Tree_ID
Sylvain Delagrange,Aceraceae,Acer saccharum,13,91.5,0.3,14.5,23,6,0.16,0.45,0,0.17,0.39,0.56,17.48,1.21,0.435,DA,FE,0.65,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,3
Sylvain Delagrange,Aceraceae,Acer saccharum,15,80,0.32,11.5,29,2,0.12,0.65,0,0.34,0.67,1.01,15,1.04,0.568,DA,FE,0.98,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,9
Sylvain Delagrange,Aceraceae,Acer saccharum,11,1443.7,1.05,55.5,109,54,5.33,18,2.52,6.05,8.6,14.65,35.69,1.06,0.725,DA,FE,3.22,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,13
Sylvain Delagrange,Aceraceae,Acer saccharum,9,838.7,0.66,32,80.5,35,2.63,5.94,0.6,2.48,4.24,6.72,32.88,1.04,0.581,DA,FE,2.97,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,14
Sylvain Delagrange,Aceraceae,Acer saccharum,7,443.9,0.98,30,107,25,1.07,11.6,0.19,3.91,8.38,12.29,22.69,0.98,0.731,DA,FE,1.2,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,29
Sylvain Delagrange,Aceraceae,Acer saccharum,13,1517.3,1.04,60.5,100,42,5.55,17.19,2.03,5.8,10.08,15.88,38.73,1.1,0.717,DA,FE,6.84,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,36
Sylvain Delagrange,Aceraceae,Acer saccharum,9,240.8,0.45,20,54,25,0.75,3.16,0.04,0.89,2.05,2.94,30.25,1.07,0.647,DA,FE,5.63,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,42
Sylvain Delagrange,Aceraceae,Acer saccharum,6,132,0.37,19,22,6,0.44,0.51,0.03,0.43,0.44,0.87,33.33,1.17,0.629,DA,FE,3.8,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,52
Sylvain Delagrange,Aceraceae,Acer saccharum,9,367.7,0.78,22.5,46,22,0.99,2.83,0.1,1.11,0.92,2.03,26.9,1.07,0.542,DA,FE,4.13,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,53
