"var_in","method","unit_in","var_out","notes"
"Age","?","yr","age",NA
"LeafArea","c","cm2","a.lf",NA
"Diam at colar height","?","cm","d.ba",NA
"CrownWidth","?","cm","d.cr",NA
"h.t","?","cm","h.t",NA
"h.c","?","cm","h.c",NA
"m.lf","m1,6","g","m.lf",NA
"m.st","m1","g","m.st",NA
"m.br","m1","g","m.br",NA
"m.rf","m1","g","m.rf",NA
"m.rc","m1","g","m.rc",NA
"m.rt","m1","g","m.rt",NA
"lf.ma","m1,c2,7","g.m2","ma.ilf",NA
"d.st","?","kg.l","r.st",NA
"n.lf","?","g.g","n.lf",NA
"Light","li3",NA,"light",NA
"Contributor",NA,NA,NA,NA
"Family",NA,NA,"family",NA
"Species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"Location",NA,NA,"location",NA
"Latitude",NA,"deg","latitude",NA
"Longitude",NA,"deg","longitude",NA
"Vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"Reference",NA,NA,NA,NA
"Last perturbation",NA,NA,NA,NA
"Tree_ID",NA,NA,NA,NA
