Method,"Description"
Contact,"Jean-Christophe Domec, jdomec@ncsu.edu"
Reference,"Domec, J.C., Lachenbruch, B., Pruyn, M.L. and Spicer, R. (2012) Effects of age-related increases in sapwood area, leaf area, and xylem conductivity on height-related hydraulic costs in two contrasting coniferous species. Annals of Forest Science, 69, 17–27."
Species,"Pinus ponderosa (ponderosa pine), Pseudostuga menziesii (Douglas-fir)."
Sampling strategy,"Five age classes of Douglas-fir and 4 age classes of ponderosa pine were studied. Locations with different impacts (natal regeneration, planted thinned, planted) across the state of Oregon were sampled. Trees were felled and had the center of the internodes marked. Internodes were just distal to branch whorls at increasing number of nodes."
Leaf area,"n/a"
Stem cross sectional area,"n/a"
Height,"n/a"
Crown area,"n/a"
Biomass,"n/a"
Traits,"n/a"
Growth environment,"n/a"
Other variables,"n/a"
