dataset,location,latitude,longitude,vegetation,species,family,pft,age,a.lf,a.stbc,h.t,h.c,d.bh,m.lf,m.st,m.so,m.br,growingCondition
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,7.6435,0.003216991,9.9,6.8,0.098,1.112,39.393,44.517,4.012,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,11.8471,0.004071504,9.3,5,0.108,1.722,43.088,55.419,10.609,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,55.7297,0.014102609,10.3,4.9,0.17,8.101,119.271,180.01,52.638,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,1.5524,0.001385442,9.7,5.9,0.064,0.226,17.098,17.903,0.579,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,34.743,0.012076282,10.2,2.45,0.163,5.051,76.136,110.825,29.638,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,25.508,0.005026548,10.2,6.15,0.123,3.708,60.487,79.367,15.172,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,0.5352,0.002123717,7.2,3.2,0.077,0.078,16.269,17.926,1.579,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,5.7279,0.002290221,9,5,0.08,0.832,24.179,29.033,4.022,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Quercus phillyreoides,Fagaceae,EA,NA,12.1131,0.00453646,9.1,4.4,0.103,1.761,42.702,51.925,7.462,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Myrsine seguinii,Myrsinaceae,EA,NA,0.6024,0.000254469,5.1,3.4,0.025,0.061,1.608,1.757,0.088,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Myrsine seguinii,Myrsinaceae,EA,NA,0.3641,0.000153938,5.6,3.4,0.022,0.037,1.444,1.631,0.15,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Myrsine seguinii,Myrsinaceae,EA,NA,5.7098,0.001385442,7.1,4.3,0.052,0.579,8.339,10.532,1.614,FW
FLKU1965,Japan-Mt. Tsuruba-,32.83,132.67,TempF,Myrsine seguinii,Myrsinaceae,EA,NA,2.3832,NA,5.7,4,0.04,0.242,2.925,3.743,0.576,FW
