"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"a.lf","e1","m2","a.lf",NA
"a.stbc","?","m2","a.stbc",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"d.bh","d3","m","d.bh",NA
"m.lf","mx","kg","m.lf",NA
"m.st","mx","kg","m.st",NA
"m.so","mx","kg","m.so",NA
"m.br","mx","kg","m.br",NA
"growingCondition",NA,NA,"growingCondition",NA
