"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Usuda National Forest-106",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019855651,NA,NA,19.5,9.2,NA,0.239,NA,NA,6.345,NA,NA,NA,189.655,221.708,25.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-106",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039408138,NA,NA,24.1,13.2,NA,0.326,NA,NA,7.976,NA,NA,NA,426.845,472.504,37.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-106",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009852035,NA,NA,17.6,8.75,NA,0.159,NA,NA,1.955,NA,NA,NA,75.441,83.403,6.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-106",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007238229,NA,NA,17.6,12.25,NA,0.195,NA,NA,3.129,NA,NA,NA,100.948,112.316,8.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-108",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008171282,NA,NA,6.85,0.45,NA,0.08,NA,NA,2.434,NA,NA,NA,6.851,14.014,4.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-108",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002290221,NA,NA,4.3,0.4,NA,0.044,NA,NA,0.74,NA,NA,NA,1.407,3.584,1.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-108",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004778362,NA,NA,6.3,0.29,NA,0.07,NA,NA,1.352,NA,NA,NA,3.991,8.354,3.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-108",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005808805,NA,NA,5.85,0.23,NA,0.064,NA,NA,1.8,NA,NA,NA,4.093,9.722,3.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-108",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004778362,NA,NA,6.7,0.78,NA,0.071,NA,NA,1.538,NA,NA,NA,4.995,10.511,3.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
"Ishihara0000","Japan-Usuda National Forest-104, Ni",36,138,"TempF",NA,NA,NA,NA,"Larix kaempferi","Pinaceae","DG",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086569727,NA,NA,26.7,5.35,NA,0.359,NA,NA,17.59,NA,NA,NA,588.221,703.094,97.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373.","FLKU1963"
