"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light"
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,7.6435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003216991,NA,NA,9.9,6.8,NA,0.098,NA,NA,1.112,NA,NA,NA,39.393,44.517,4.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,11.8471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004071504,NA,NA,9.3,5,NA,0.108,NA,NA,1.722,NA,NA,NA,43.088,55.419,10.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,55.7297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014102609,NA,NA,10.3,4.9,NA,0.17,NA,NA,8.101,NA,NA,NA,119.271,180.01,52.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,1.5524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001385442,NA,NA,9.7,5.9,NA,0.064,NA,NA,0.226,NA,NA,NA,17.098,17.903,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,34.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012076282,NA,NA,10.2,2.45,NA,0.163,NA,NA,5.051,NA,NA,NA,76.136,110.825,29.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,25.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005026548,NA,NA,10.2,6.15,NA,0.123,NA,NA,3.708,NA,NA,NA,60.487,79.367,15.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,0.5352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002123717,NA,NA,7.2,3.2,NA,0.077,NA,NA,0.078,NA,NA,NA,16.269,17.926,1.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,5.7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002290221,NA,NA,9,5,NA,0.08,NA,NA,0.832,NA,NA,NA,24.179,29.033,4.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Quercus phillyreoides","Fagaceae","EA",NA,12.1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00453646,NA,NA,9.1,4.4,NA,0.103,NA,NA,1.761,NA,NA,NA,42.702,51.925,7.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"FLKU1965","Japan-Mt. Tsuruba-",32.83,132.67,"TempF",NA,NA,NA,NA,"Myrsine seguinii","Myrsinaceae","EA",NA,0.6024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000254469,NA,NA,5.1,3.4,NA,0.025,NA,NA,0.061,NA,NA,NA,1.608,1.757,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
