dataset,location,latitude,longitude,Vegetation,map,mat,species,family,ID,site,stand age,d.ba,d.bh,h.t,m.so,m.s.t.,m.br,m.lf,m.sb,a.lf
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,22,C1,14,,0.022,5.54,0.847962166,0.417432687,0.281485198,0.068797342,0.080246939,1.049975708
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,48,C4,26,,0.025,7.07,1.413340402,0.985787966,0.276983756,0.003749196,0.146819484,0.161909608
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,40,C2,16,0.045,0.032,6.27,2.057147345,1.258847352,0.505785103,0.075302013,0.217212876,1.783319171
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,27,C1,14,0.048,0.034,5.2,1.986386039,1.238193717,0.376838419,0.179220395,0.192133508,2.246915424
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,6,C6,29,0.061,0.038,7.2,3.104038213,2.056982544,0.570395198,0.17030137,0.306359102,3.771711995
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,28,C1,14,0.065,0.044,6.85,4.283413137,2.702956016,0.779892162,0.414911661,0.385653299,5.549778524
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,41,C2,16,,0.049,9.3,5.907909858,4.012749692,1.037398185,0.312651007,0.545110974,4.874006335
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,52,C4,26,0.085,0.059,11.75,11.12140002,7.938177145,1.997411648,0.2454,0.94041123,8.013622723
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,12,C6,29,0.091,0.067,10.87,12.85831641,9.980497756,1.594698855,0.280835017,1.002284782,4.151902146
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,42,C2,16,0.098,0.074,9.73,13.81652511,8.046110794,3.431023891,1.185752508,1.153637921,18.66525507
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,10,C6,29,0.122,0.092,11.29,28.28102681,20.82302192,3.927031642,0.78390411,2.74706914,15.54085581
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer rubrum,Aceraceae,57,C4,26,0.115,0.094,12.54,24.29206221,15.89319471,4.91893617,1.22107027,2.258861059,33.45915037
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,155,C2,16,0.026,0.018,4.74,0.694328489,0.414361957,0.125938169,0.099218581,0.054809783,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,151,C1,14,0.035,0.02,4.66,0.74466888,0.455586577,0.097377183,0.088553443,0.103151678,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,150,C1,14,0.048,0.029,6.47,1.916435157,1.122234043,0.31164947,0.278509091,0.204042553,7.84234856
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,152,C1,14,0.077,0.039,5.69,3.932823022,2.087464557,1.171866932,0.341123179,0.332368354,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,154,C2,16,0.07,0.054,10.5,8.912689069,5.66362588,1.824107495,0.743587629,0.681368065,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,153,C4,26,0.1,0.065,9.67,12.9806581,8.228044587,3.135827957,0.623585149,0.993200403,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,159,C6,29,0.096,0.07,11.11,18.92678853,15.36214174,1.216794045,0.290252941,2.057599803,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,157,C4,26,0.121,0.082,12.55,27.21829095,20.00094369,3.731551122,0.93644,2.549356144,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,158,C4,26,0.117,0.087,13.67,28.44557123,20.63305947,4.086409496,1.300032362,2.426069896,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,156,C4,26,0.123,0.104,16.1,39.72523836,26.36376831,8.454451226,1.510963455,3.396055367,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,161,C6,29,0.18,0.117,15.58,53.04306663,38.2545177,8.782456286,1.697580645,4.308511998,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Acer saccharum,Aceraceae,160,C6,29,0.171,0.121,15.03,66.30730149,39.95158257,19.18319445,2.314788274,4.857736209,
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,47,C4,26,0.029,0.02,5.25,1.193199801,0.760385808,0.237,0.103044,0.092769993,4.188494678
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,43,C2,16,,0.02,5.44,1.084607176,0.634775267,0.315853014,0.072418874,0.061560021,0.942886871
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,19,C1,14,0.04,0.024,4.55,1.511600327,1.071116816,0.307727136,0.097062718,0.035693657,1.728799525
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,24,C1,14,0.056,0.03,4.3,3.104051547,1.691501008,1.011956351,0.279715254,0.120878933,4.983762032
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,17,C1,14,0.072,0.038,6.25,3.91584319,2.904262105,0.50840796,0.329657143,0.173515982,12.23985735
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,44,C2,16,0.073,0.042,7.95,7.550617344,6.269000315,0.518409178,0.336212625,0.426995227,7.277825761
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,51,C4,26,0.062,0.044,8.83,9.025609679,7.266878012,0.9176,0.152909699,0.688221968,2.524510898
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,8,C6,29,0.081,0.052,8.05,10.44913541,8.883241211,1.206639635,0.194694915,0.164559645,2.403628753
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,45,C2,16,0.105,0.06,9.45,16.97049526,13.8958436,2.077848165,0.102341137,0.894462355,2.187512665
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,53,C4,26,0.091,0.067,12.36,26.82119434,23.16469481,1.412602808,0.52015873,1.723737998,9.088829628
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,14,C6,29,0.117,0.081,13.18,33.08816448,28.8483596,1.456387776,0.649009901,2.134407209,24.54282986
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula alleghaneinsis,Betulaceae,2,C6,29,0.204,0.11,12.45,64.41742,53.51535666,5.64759799,1.048252149,4.206213209,39.11545879
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula papyrifera,Betulaceae,34,C2,16,0.029,0.02,5.45,0.368481,0.20452506,0.118324899,0.018228667,0.027402387,0.335898351
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula papyrifera,Betulaceae,35,C2,16,0.048,0.032,6.98,2.306937197,1.388054233,0.5784004,0.151542088,0.188940476,3.767435667
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula papyrifera,Betulaceae,18,C1,14,0.051,0.033,8.4,2.007374932,1.214773289,0.507158841,0.142352941,0.14308986,2.609536256
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula papyrifera,Betulaceae,59,C4,26,0.055,0.04,7.74,2.952396266,2.079597866,0.397151039,0.049705629,0.425941732,0.738907655
Fatemi et al. 2011,"Bartlett Experimental Forest, NH, USA",44,-71,TempF,1270,7.3,Betula papyrifera,Betulaceae,36,C2,16,0.07,0.042,7.66,3.868177865,2.586393207,0.758345865,0.180923077,0.342515717,2.249421624
