"year","ref"
"1957","Yamada, S; Maruyama, K; Miyazawa S. (1957) Biomass of Pinus densiflora mature trees along topographic gradient [in Japanese with title translated by Ishihara]. Bulletin of the Japan Forest Society 67: 218-222."
"1957","Morisawa, M; Taira, K. (1957) Leaf biomass of Fagus crenata in Gumma Prefecture [in Japanese with title translated by Ishihara]. Bulletin of the Forestry and Forest Products Research Institute 95: 121-127."
"1962","Ando, T; Sakaguchi, K; Narita, T; Satoo, S. (1962) Growth analysis on the natural stands of Japanese red pine (Pinus densiflora Sieb. et Zucc.) I. Effects of improvement cutting and relative growth [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 144: 1-30."
"1963","Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1963) Forest production data from the perspective of material cycle 1 [in Japanese with title translated by Ishihara].  pp. 373."
"1964","Ikushima, T. (1964) Productive structure of woody community [in Japanese with title translated by Ishihara]. Accademic report of Tanzawa Oyama. Kanagawa Prefecture.  pp. 106-124."
"1964","Sekiya, Yuui (1964) Study on the growth of volume, weight and calorie in an even-aged pure forest of Akamatsu (Pinus densiflora Sieb. et Zucc.) [in Japanese with English abstract]. Bulletin of the Kyushu University Forest 38: 39-159."
"1965","Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University (1965) Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara].  pp. 371."
"1967","Furuno, T; Kawanabe, S. (1967) Investigations on the productivity of Japanese fir (Abies firma Sieb. et Zucc.) and hemlock (Tsuga sieboldii Carr.) stands in Kyoto University Forest of Wakayama (I) On the growth of Japanese fir stands [in Japanese with English abstract]. Bulletin of the Kyoto University Forests 39: 9-26."
"1968","Kabaya, H; Sato, T. (1968) Estimation of the biomass, growth and nitrogen biomass in Pinus thunbergii forest [in Japanese with title translated by Ishihara]. Bulletin of the Japanese Forestry Society 79: 93-94."
"1968","Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275."
"1969","Segawa, K; Kato, R. (1969) Growth of Quercus serrata coppice forest in Koma Experimental Forest [in Japanese wthi title translated by Ishihara]. Annual report of Touhoku Research Center, Forestry and Forest Products Research Institute 11: 188-198."
"1970","Yasui, H; Fujie I. (1970) Studies on the productive structure of Shirakashi (Cyclobalanopsis myrsinaefolia Oerst.) coppice-forest managed by selection method. 7. On the growth of third circulation-period at the Shimoyamasa permanent plot [in Japanese with English abstract]. Bulletin of the Faculty of Agriculture, Shimane University 4: 85-92."
"1971","Yasui, H; Fujie, I. (1971) Studies on the productive structure of Shirakashi (Cyclobalanopsis myrsinaefolia Oerst.) coppice-forest managed by selection method. 8. On the growth and the biomass at Shirakashi sprout forest by clearing system [in Japanese with English abstract].. Bulletin of the Faculty of Agriculture, Shimane University 5: 49-55."
"1971","Sato, A; Kato, R; Mori, M. (1971) Growth analysis on the old-growth natural stands of Pinus densiflora [in Japanese with title translated by Ishihara]. Bulletin of the Japan Forest Society 82: 180-182."
