"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,10.8,72.26,114.54,7.26,7.1,1.86,8.09,53.3446,5.1,NA,33.5005357733877,23.6382980223026,12.8612405008251,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",2.71716348608981,0.00916088417786784,0.007226,0.011454
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,13.5,120.87,175.14,8.06,7.74,2.8,11.02,70.7192,6.79,NA,56.1570511802182,40.7522195329428,31.7728114613457,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",6.15752160103599,0.0143138815279185,0.012087,0.017514
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,4.3,12.64,13.97,4.04,3.19,1.7,0.84,5.8424,0.34,NA,14.6947883041342,11.0854469507085,4.82710947211828,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",2.26980069221863,0.00145220120412188,0.001264,0.001397
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,16.1,166.91,177.39,12.94,12.04,2.61,14.09,89.9468,10.42,NA,79.0768892233495,55.0006475015201,42.9443589198082,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",5.35021082887976,0.0203583057934253,0.016691,0.017739
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,24.7,398.08,727.26,13.02,12.77,3.3,38.02,234.4154,34.87,NA,106.830044704704,75.2981885492385,72.8144208082101,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",8.55298599939821,0.0479163565507149,0.039808,0.072726
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,13.5,106.88,106.66,7.83,6.83,2.55,11.55,73.6186,7.57,NA,45.253678580721,32.9374268009388,23.2541080917798,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",5.10705155749191,0.0143138815279185,0.010688,0.010666
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,19.8,261.85,411.39,9.81,9.61,3.25,38.45,234.3064,34.45,NA,80.4946516680582,58.0521063007224,53.1482209663401,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",8.29576810088555,0.0307907495978336,0.026185,0.041139
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,26.8,431.67,421.15,14.52,13.47,3.85,41.38,251.8118,38.24,NA,132.17138806803,93.9299209028408,104.541247207089,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",11.6415642769587,0.0564104376878583,0.043167,0.042115
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,4.4,14.18,19.63,4.25,4,1.55,1.23,8.502,0.51,NA,16.1645120191764,11.8069675721957,5.03178423349965,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",1.88691908756237,0.00152053084433746,0.001418,0.001963
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,11.6,84.32,99.35,8.45,7.79,2.2,5.96,39.1746,3.57,NA,43.6487862304233,30.9886962540942,19.741558795648,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",3.80132711084365,0.0105683176866761,0.008432,0.009935
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,25,347.21,537.98,12.56,11.83,4.25,45.62,275.6828,40.78,NA,130.204407585215,94.425976087672,111.88225912061,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",14.1862543263664,0.0490873852123405,0.034721,0.053798
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,14.6,128.22,147.43,11.24,10.63,2.75,11.95,76.9976,8.83,NA,74.1101556522679,52.2404282712044,42.0917783211125,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",5.9395736106932,0.01674154725098,0.012822,0.014743
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,7.2,33.32,34.3,5.67,4.47,1.9,2.11,14.1918,0.99,NA,22.351166082591,16.4740220669,8.44915636219707,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",2.83528736986479,0.00407150407905237,0.003332,0.00343
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,15.1,130.86,128.07,11.39,10.87,2.7,15.37,97.8384,12.63,NA,74.2631324061594,52.1810360660343,41.4911712555931,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",5.7255526111674,0.0179078635236252,0.013086,0.012807
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,6.6,26.66,33.18,4.46,3.76,1.67,2.66,17.6144,1.2,NA,16.606832777942,12.294029919724,5.49059499100052,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",2.19039693789914,0.00342119439975928,0.002666,0.003318
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,2.5,3.97,9.35,2.16,1.72,0.8,0.56,3.9458,0.18,NA,3.65939112543745,2.72174921154783,0.576377532178608,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",0.502654824574367,0.000490873852123405,0.000397,0.000935
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,16.5,143.6,158.05,9.27,8.27,1.55,13.61,84.7584,8.78,NA,32.1080393967764,22.1103922200573,10.4032139027605,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",1.88691908756237,0.0213824649984955,0.01436,0.015805
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,5.9,19.58,46.11,4.03,3.86,1.35,3.57,23.7402,1.88,NA,13.4653901938934,9.74101913357079,3.68343884651769,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",1.43138815279185,0.00273397100678652,0.001958,0.004611
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,4.9,14.18,20.81,3.89,3.39,1.2,1.78,11.9682,0.73,NA,10.5220955501119,7.62028717078734,2.55599978296066,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",1.13097335529233,0.00188574099031727,0.001418,0.002081
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,21.5,311.17,583.98,10.07,10.07,3.45,36.6,221.706,28.81,NA,89.627368619358,64.7149107357961,62.7575936754466,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",9.34820163983813,0.036305030103047,0.031117,0.058398
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,9.4,54.05,113.08,6.59,6.59,1.95,6.24,41.093,3.75,NA,32.8187572694043,23.3917255195344,13.1205868283606,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",2.9864765163188,0.00693977817177985,0.005405,0.011308
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,11.5,83.05,96.6,7.95,7.2,2.65,4.89,32.2422,2.78,NA,49.5137819684861,35.9895257991033,26.4742012918012,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",5.51545860245858,0.0103868907109313,0.008305,0.00966
"Garber and Maguire-ABGR","Garber and Maguire","ABGR",NA,9.1,52.93,77.44,6.53,6.3,2.16,4.77,31.5882,2.64,NA,35.1084353005582,25.3515632594439,15.390285418818,"Abies grandis","(Dougl. ex D. Don) Lindl.","Garber and Maguire 2005","USA","",3.66435367114713,0.00650388219109427,0.005293,0.007744
"Garber and Maguire-PICO","Garber and Maguire","PICO",NA,14.2,111.02,133.02,7.95,7.3,2.95,5.26,32.17,8.05,NA,56.3754223302085,41.3456338844884,33.2633139159026,"Pinus contorta var. latifolia","Dougl. ex Loud.","Garber and Maguire 2005","USA","",6.83492751696629,0.0158367685667461,0.011102,0.013302
"Garber and Maguire-PICO","Garber and Maguire","PICO",NA,19.5,197.21,179.02,11.34,9.64,4.06,10.57,63.93,24.09,NA,102.898959849967,75.772968789049,83.2008423746384,"Pinus contorta var. latifolia","Dougl. ex Loud.","Garber and Maguire 2005","USA","",12.9461891661782,0.029864765163188,0.019721,0.017902
"Garber and Maguire-PICO","Garber and Maguire","PICO",NA,21.7,277.25,277.25,10.53,9.16,5.23,16.39,98.41,52.62,NA,131.246700768533,99.7411628509624,131.189015733414,"Pinus contorta var. latifolia","Dougl. ex Loud.","Garber and Maguire 2005","USA","",21.4829174235941,0.0369836141162224,0.027725,0.027725
"Garber and Maguire-PICO","Garber and Maguire","PICO",NA,4.9,15.9,20.91,3.6,2.95,1.2,0.64,4.02,0.47,NA,9.27336103361543,6.80544111522841,2.22424759874157,"Pinus contorta var. latifolia","Dougl. ex Loud.","Garber and Maguire 2005","USA","",1.13097335529233,0.00188574099031727,0.00159,0.002091
