"var_in","method","unit_in","var_out","notes"
"spdataset",NA,NA,NA,NA
"dataset",NA,NA,NA,NA
"wrong.sp",NA,NA,NA,NA
"age","?","yr","age",NA
"dbh","?","cm","d.bh",NA
"sapbh",NA,NA,NA,NA
"sapcb",NA,NA,NA,NA
"h_t","?","m","h.t",NA
"h_c","?","m","h.c",NA
"cw","?","m","d.cr",NA
"m_lf","m3,x1","kg","m.lf",NA
"a_lf","a4,a5,e1","m2","a.lf",NA
"wbr","?","kg","m.br",NA
"m_st",NA,NA,NA,NA
"a_cs","?","m2","a.cs",NA
"SAcon",NA,NA,NA,NA
"Vell",NA,NA,NA,NA
"sp",NA,NA,"species",NA
"authorname",NA,NA,NA,NA
"reference",NA,NA,NA,NA
"country",NA,NA,NA,NA
"remark",NA,NA,NA,NA
"a_cp","?","m2","a.cp",NA
"a_st","?","m2","a.stbh",NA
"a_ss_dbh","?","m2","a.ssbh",NA
"a_ss_crownbase","?","m2","a.ssbc",NA
