Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Saligna,280,Amb,dry,132,15.74,13.10,8.77,0.30,32.48,4842,531,12.7,8.35,8.29,1.3,1.72,97,61,,28,33,0,,,
Saligna,280,Amb,dry,133,17.58,14.16,22.74,0.71,34.22,5146,539,9.4,8.4,8.42,1.43,1.28,105,59,,26,33,0,,,
Saligna,280,Amb,dry,139,18.19,15.30,15.62,0.46,33.35,5455,478,11.0,9.61,9.59,1.82,3.08,115,37,,27,10,0,,,
Saligna,280,Amb,dry,150,14.22,13.83,8.01,0.28,33.01,4317,540,11.8,7.84,7.8,2.45,2.05,112,53,,31,22,0,,,
Saligna,280,Amb,dry,158,22.26,18.42,22.19,0.54,40.22,5532,703,8.7,9.35,9.21,2.8,1.74,104,76,,32,44,0,,,
Saligna,280,Amb,dry,162,18.71,17.50,18.41,0.50,40.90,4584,548,8.3,10.13,10.6,1.47,1.99,103,60,,29,31,0,,,
Saligna,280,Amb,dry,163,23.00,22.40,34.59,0.75,43.23,5317,381,6.6,11.62,10.41,2.23,1.28,124,30,,30,0,0,,,
Saligna,280,Amb,dry,166,21.12,19.28,20.55,0.50,32.02,6591,446,10.7,10.81,10.78,1.6,2.58,109,48,,26,22,0,,,
Saligna,280,Amb,dry,170,19.66,20.27,12.54,0.31,30.88,6374,506,12.0,11.25,9.67,1.63,2.38,120,66,,27,39,0,,,
Saligna,400,Amb,dry,48,15.35,14.99,16.70,0.54,32.57,4713,506,9.8,10.11,10.34,2.74,1.68,99,56,,30,26,0,,,
Saligna,400,Amb,dry,54,16.64,16.36,9.84,0.29,38.70,4300,217,9.9,10.95,10.25,1.75,2.75,112,28,,24,4,0,,,
Saligna,400,Amb,dry,57,18.98,23.09,17.48,0.41,36.35,5221,473,8.6,11.56,11.2,3.04,1.68,131,60,,30,30,0,,,
Saligna,400,Amb,dry,58,12.55,15.32,19.59,0.69,35.05,3581,242,7.5,10.1,10.47,3.37,1.94,106,35,,23,12,0,,,
Saligna,400,Amb,dry,60,22.19,22.28,23.48,0.52,40.52,5462,605,8.0,11.98,11.7,1.59,1.5,100,77,,29,48,0,,,
Saligna,400,Amb,dry,62,23.77,28.32,27.28,0.51,35.45,6695,508,8.3,13.8,14.16,1.96,2.71,121,67,,27,40,0,,,
Saligna,400,Amb,dry,64,10.54,12.04,10.61,0.46,30.48,3466,335,10.3,9.37,8.54,1.46,2.32,115,37,,35,2,0,,,
Saligna,400,Amb,dry,67,19.15,20.45,16.30,0.40,36.47,5251,480,9.2,11.67,10.41,3.92,1.9,113,72,,30,42,0,,,
Saligna,400,Amb,dry,69,11.91,14.29,15.96,0.60,36.16,3293,320,7.7,8.86,9.3,3.4,1.61,102,47,,28,19,0,,,
Saligna,640,Amb,dry,240,30.04,35.78,20.08,0.29,42.39,7087,445,8.0,14.08,14.28,1.77,3.12,140,67,,25,42,0,,,
Saligna,640,Amb,dry,241,28.91,25.85,26.46,0.48,49.90,5794,498,7.1,13.17,12.5,2.25,3.19,126,64,,34,30,0,,,
Saligna,640,Amb,dry,252,18.63,21.48,14.31,0.35,41.30,4503,346,8.2,12.09,10.95,1.48,2.63,120,55,,34,21,0,,,
Saligna,640,Amb,dry,265,29.83,30.85,18.52,0.30,40.68,7332,524,9.2,13.9,12.9,3.16,2.05,141,69,,27,42,0,,,
Saligna,640,Amb,dry,269,26.32,26.44,21.10,0.39,45.12,5841,452,7.8,13.72,13.05,1.59,2.27,118,64,,24,40,0,,,
Saligna,640,Amb,dry,270,27.53,28.20,39.56,0.67,42.44,6493,521,6.6,15.12,15.3,1.68,2.89,116,73,,26,47,0,,,
Saligna,640,Amb,dry,272,29.49,26.86,30.81,0.54,39.41,7481,331,8.5,11.63,12.54,1.81,1.77,127,85,,31,54,0,,,
Saligna,640,Amb,dry,274,26.78,25.37,39.22,0.72,52.81,5079,357,5.4,14.29,14.16,1.64,2.37,116,32,,30,2,0,,,
Saligna,640,Amb,dry,278,27.36,31.64,28.12,0.47,44.84,6069,547,6.9,13.78,12.87,1.91,2.78,133,68,,34,34,0,,,
Saligna,280,Elv,dry,443,22.63,23.20,23.48,0.50,31.75,7138,876,10.1,10.7,11.83,1.94,2.97,114,98,,35,63,0,,,
Saligna,280,Elv,dry,444,23.17,26.79,14.89,0.29,31.10,7445,1175,11.3,12.19,11.12,1.34,2.13,145,165,,39,126,0,,,
Saligna,280,Elv,dry,450,20.61,21.41,21.66,0.51,33.42,6167,740,9.6,10.09,9.15,1.33,1.94,138,86,,38,48,0,,,
Saligna,280,Elv,dry,456,6.85,4.64,4.22,0.36,44.05,1555,170,9.8,7.43,5.82,1.17,1.85,74,25,,25,0,0,,,
