"var_in","method","unit_in","var_out","notes"
"Species",NA,NA,"species",NA
"CO2",NA,NA,NA,NA
"Temp",NA,NA,NA,NA
"Water",NA,NA,NA,NA
"Potnum",NA,NA,NA,NA
"LeafDW","m4,x6","g","m.lf",NA
"StemDW","m3","g","m.st",NA
"RootDW","m3","g","m.rt",NA
"RootShoot",NA,NA,NA,NA
"LMA","m4,a1,x6","g/m2","ma.ilf",NA
"LA","a1","cm2","a.lf",NA
"Leafnum",NA,NA,NA,NA
"LAR",NA,NA,NA,NA
"Basaldia1","d1,f","mm","d.ba",NA
"Basaldia2","d1,f","mm",NA,NA
"Tipdia1","d1,f","mm",NA,NA
"Tipdia2","d1,f","mm",NA,NA
"Height","?","cm","h.t",NA
"Branchnum",NA,NA,NA,NA
"Mainstemnum",NA,NA,NA,NA
"Primarybranchnum",NA,NA,NA,NA
"Secondarybranchnum",NA,NA,NA,NA
"Tertiarybranchnum",NA,NA,NA,NA
"grouping",NA,NA,"grouping",NA
