Species,Temp,CO2,Potnum,LA,Height,Basaldia,LeafDW,StemDW,RootDW,LMA,LAR
Saligna,Amb,400,55,376,23.3,2.97,1.12,0.44,1.28,29.79,13.25
Saligna,Amb,400,51,682,20.1,3.07,0.89,0.34,0.95,13.05,31.34
Saligna,Amb,400,78,539,28.2,3.11,1.46,0.65,1.21,27.09,16.22
Saligna,Amb,400,77,739,17.6,2.51,0.54,0.20,0.47,7.31,61.03
Saligna,Amb,400,49,582,24.3,3.38,1.61,0.74,1.34,27.66,15.78
Saligna,Amb,400,45,258,16.4,2.57,0.62,0.28,1.01,24.03,13.54
Saligna,Amb,400,46,310,21.6,3.39,0.82,0.32,0.62,26.45,17.57
Saligna,Amb,400,61,569,23.7,2.39,1.43,0.65,0.89,25.13,19.18
Saligna,Amb,400,73,415,24,2.66,1.13,0.46,1.73,27.23,12.51
Sideroxylon,Amb,400,9,75,24,1.58,0.3,0.10,0.71,40.00,6.73
Sideroxylon,Amb,400,27,91,31.5,2.32,0.38,0.19,0.52,41.76,8.38
Sideroxylon,Amb,400,7,102,18.4,2.68,0.48,0.19,0.52,47.06,8.57
Sideroxylon,Amb,400,39,25,8.4,1.11,0.14,0.03,0.31,56.00,5.17
Sideroxylon,Amb,400,17,88,27,2.03,0.41,0.21,0.91,46.59,5.76
Sideroxylon,Amb,400,32,42,13.7,1.38,0.21,0.05,0.30,50.00,7.45
Sideroxylon,Amb,400,14,39,20.5,1.36,0.27,0.10,0.46,69.23,4.67
Sideroxylon,Amb,400,10,155,26.6,1.59,0.72,0.25,0.66,46.45,9.51
Sideroxylon,Amb,400,36,15,7,0.77,0.06,0.05,0.95,40.00,1.42
Saligna,Amb,280,148,1014,34.9,5.65,3.17,1.52,2.05,31.26,15.04
Saligna,Amb,280,138,235,17.1,3.24,0.63,0.24,0.51,26.81,16.99
Saligna,Amb,280,165,559,29.5,4.95,1.9,0.84,5.64,33.99,6.67
Saligna,Amb,280,149,389,26.7,4.17,1.27,0.47,1.50,32.65,12.02
Saligna,Amb,280,136,477,23.2,4.06,1.79,0.84,1.47,37.53,11.62
Saligna,Amb,280,160,410,22.5,3.39,1.36,0.54,1.89,33.17,10.81
Saligna,Amb,280,152,492,29.3,3.19,1.37,0.63,1.24,27.85,15.18
Saligna,Amb,280,161,635,23.5,3.70,2.07,0.82,1.02,32.60,16.23
Saligna,Amb,280,154,335,23.5,2.86,0.98,0.35,7.00,29.25,4.02
Sideroxylon,Amb,280,182,157,35.4,2.83,0.64,0.28,4.91,40.76,2.69
Sideroxylon,Amb,280,107,42,18.9,1.36,0.16,0.06,0.22,38.10,9.48
Sideroxylon,Amb,280,184,124,33,1.99,0.68,0.31,4.15,54.84,2.41
Sideroxylon,Amb,280,174,79,30.2,1.75,0.33,0.14,1.39,41.77,4.24
Sideroxylon,Amb,280,104,117,33.5,2.67,0.49,0.23,3.73,41.88,2.63
Sideroxylon,Amb,280,181,116,37.1,3.16,0.57,0.25,0.35,49.14,9.94
Sideroxylon,Amb,280,111,284,36.5,2.31,1.42,0.61,0.81,50.00,10.01
Sideroxylon,Amb,280,102,86,27.1,1.78,0.44,0.17,3.30,51.16,2.20
Sideroxylon,Amb,280,180,143,40.3,2.04,0.67,0.35,0.68,46.85,8.42
Saligna,Amb,640,247,573,27.6,3.94,1.69,0.68,2.78,29.49,11.12
Saligna,Amb,640,284,1494,40.3,5.16,6.54,2.80,2.82,43.78,12.29
Saligna,Amb,640,263,521,28,3.78,1.99,0.78,2.20,38.20,10.49
Saligna,Amb,640,245,1126,22.2,3.98,1.89,0.77,2.07,16.79,23.79
Saligna,Amb,640,244,582,27,3.62,1.79,0.82,2.41,30.76,11.60
Saligna,Amb,640,254,893,38.3,4.12,3.38,1.76,5.64,37.85,8.28
Saligna,Amb,640,257,453,27.6,3.59,1.45,0.60,1.66,32.01,12.21
Saligna,Amb,640,255,366,27.7,2.39,1.03,0.40,1.52,28.14,12.39
Saligna,Amb,640,248,739,28.3,3.97,2.64,1.23,3.09,35.72,10.61
Sideroxylon,Amb,640,232,364,48,2.99,2.13,1.10,2.49,58.52,6.36
Sideroxylon,Amb,640,238,90,25.2,2.28,0.47,0.12,0.92,52.22,5.94
Sideroxylon,Amb,640,222,240,41.5,3.31,1.12,0.59,1.36,46.67,7.81
Sideroxylon,Amb,640,209,289,45,2.78,1.86,0.96,2.03,64.36,5.96
Sideroxylon,Amb,640,276,21,7.1,1.30,0.14,0.07,0.74,66.67,2.21
Sideroxylon,Amb,640,207,238,47.1,2.91,1.57,0.86,1.36,65.97,6.28
Sideroxylon,Amb,640,312,140,30.4,2.36,1.02,0.44,1.19,72.86,5.27
Sideroxylon,Amb,640,216,94,30,1.89,0.52,0.26,1.51,55.32,4.11
Sideroxylon,Amb,640,212,204,33,2.13,0.9,0.39,1.00,44.12,8.90
Saligna,Elv,400,366,1047,53.9,5.94,5.2,3.15,5.84,49.67,7.38
Saligna,Elv,400,382,1314,50.9,4.55,3.16,1.84,1.88,24.05,19.11
Saligna,Elv,400,365,1724,54.6,7.09,4.41,3.55,4.63,25.58,13.69
Saligna,Elv,400,357,1443,48.8,5.38,5.71,2.86,8.32,39.57,8.54
Saligna,Elv,400,356,1143,48,5.16,3.87,2.12,2.46,33.86,13.52
Saligna,Elv,400,367,1535,40.5,4.72,3.64,1.99,2.47,23.71,18.96
Saligna,Elv,400,387,776,33,4.44,2.28,1.17,2.14,29.38,13.87
Saligna,Elv,400,374,1362,52,6.00,4.43,3.04,6.18,32.53,9.98
Saligna,Elv,400,358,1041,42,5.50,4.26,2.19,3.55,40.92,10.41
Sideroxylon,Elv,400,343,195,37.5,2.70,1.11,0.64,0.98,56.92,7.15
Sideroxylon,Elv,400,318,188,51.5,2.88,0.96,0.80,1.60,51.06,5.60
Sideroxylon,Elv,400,329,323,40,3.10,1.67,0.87,3.89,51.70,5.02
Sideroxylon,Elv,400,320,316,59.5,3.00,1.58,1.20,2.38,50.00,6.12
Sideroxylon,Elv,400,345,414,64,3.11,2.14,1.77,1.89,51.69,7.14
Sideroxylon,Elv,400,331,68,37,1.71,0.3,0.17,0.40,44.12,7.78
Sideroxylon,Elv,400,313,336,61,3.28,1.53,1.09,1.98,45.54,7.31
Sideroxylon,Elv,400,333,253,3.7,2.73,0.83,0.60,1.59,32.81,8.39
Sideroxylon,Elv,400,334,71,23,1.76,0.41,0.16,0.99,57.75,4.56
Saligna,Elv,280,509,157,23.5,1.91,0.38,0.13,0.14,24.20,24.34
E. saligna,Elv,280,458,869,31,3.92,2.56,0.17,2.06,29.46,18.16
E. saligna,Elv,280,473,952,39,4.90,2.43,1.27,1.25,25.53,19.23
E. saligna,Elv,280,457,620,34,3.15,1.54,0.75,1.31,24.84,17.22
E. saligna,Elv,280,453,892,39.5,4.97,2.58,1.28,2.13,28.92,14.89
E. saligna,Elv,280,467,1149,45,3.90,2.73,1.67,2.10,23.76,17.69
E. saligna,Elv,280,469,1087,46,5.00,2.87,1.84,2.05,26.40,16.08
E. saligna,Elv,280,476,969,38,4.06,3.06,1.62,1.45,31.58,15.80
E. saligna,Elv,280,451,1008,42,4.36,2.74,1.35,1.70,27.18,17.41
Sideroxylon,Elv,280,433,164,49,2.44,0.87,0.50,10.14,53.05,1.42
Sideroxylon,Elv,280,425,170,32,2.68,0.81,0.50,1.14,47.65,6.95
