Species,Site,Age (yr),D (cm),D0.1 (cm),DB (cm),H (m),HB (m),wS (kg),wB (kg),wL (kg),wR (kg),vS (dm3),u (m2)
Chamaecyparis obtusa,Nagoya,12,4.77,5.16,3.88,5.7,2.85,2.73,0.47,1.05,,5.82,5.89
Chamaecyparis obtusa,Nagoya,12,5.28,5.28,3.72,4.67,2.1,1.85,0.28,0.57,,4.47,3.79
Chamaecyparis obtusa,Nagoya,15,4.97,5.25,3.34,7.55,4.55,3.95,0.33,0.65,,9.44,3.85
Chamaecyparis obtusa,Nagoya,16,7.35,7.67,6.4,7.25,2.65,7.79,1.2,1.42,,18.1,7.04
Chamaecyparis obtusa,Nagoya,16,5.22,5.89,3.76,5.94,3.24,3.42,0.33,1.19,,8,6.17
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,3.47,3.79,3,4.73,1.66,1.15,0.18,0.34,,2.76,1.47
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,3.98,4.62,4.14,4.75,1.25,1.88,0.27,0.78,,3.79,3.55
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,4.93,5.32,3.84,5.84,2.41,2.6,0.32,0.75,,6.09,3.43
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,4.97,5.35,4.97,5.39,1.3,2.73,0.54,1.16,,6.35,5.12
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,5.98,6.46,5.22,6.3,2.25,4.36,0.47,1.96,,10.5,8.88
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,6.43,6.68,5.68,6.85,2.25,5.26,0.64,1.88,,12,7.97
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,7.89,8.28,7.56,6.64,1.95,7.73,1.43,3.18,,18.2,13.5
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,8.15,8.59,7.32,6.63,2.3,8.2,2.05,2.74,,18.2,13.5
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,16,9.14,9.9,8.47,7.46,2,11.1,1.67,4.02,,26.4,17.8
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,17,5.73,6.27,4.54,6.93,3.2,4.54,0.34,0.93,2.06,12.4,4.42
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,17,7.35,7.54,6.53,6.9,2.1,6.51,1.14,2.38,2.3,15.9,11.3
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,17,8.75,9.3,,7.38,,9.86,1.99,2.85,4.33,24.2,14.3
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,18,4.3,4.94,3.76,5.8,2.4,2.3,0.27,0.77,0.69,6.21,3.57
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,18,9.8,10.5,8.56,8.1,2.6,12.9,2.66,3.85,6.09,34.1,19.4
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,19,7.26,7.71,6.86,7.4,1.85,7.53,0.64,2.01,2.78,18.7,9.82
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,20,6.53,7.1,6.47,6.7,1.4,5.4,0.95,1.55,,13.2,7.39
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,20,6.56,6.95,5.16,7.65,3.35,6.12,0.44,1.28,1.93,15.4,6.38
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,20,7.8,8.15,5.83,7.6,3,7.1,0.56,1.19,,17.5,5.7
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,21,4.87,5.95,,5.77,2.7,,,,0.78,,
Chamaecyparis obtusa,Japan-Inabu Nagoya University Forest-,21,5.57,6.45,,6.4,,,,,1.41,,
