"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,6.8,NA,0.174,NA,NA,11.17,NA,NA,NA,63.81,82.52,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,7.6,NA,0.148,NA,NA,7.17,NA,NA,NA,46.3,59.46,5.99,NA,NA,17.09,76.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,8.2,NA,0.12,NA,NA,3.36,NA,NA,NA,31.5,36.32,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,6.5,NA,0.158,NA,NA,5.75,NA,NA,NA,51.51,62.21,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,9.2,NA,0.211,NA,NA,15.57,NA,NA,NA,94.62,121.22,11.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,8.3,NA,0.122,NA,NA,3.01,NA,NA,NA,31.91,36.97,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,8.6,NA,0.143,NA,NA,5.11,NA,NA,NA,37.6,46.51,3.8,NA,NA,15.24,61.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-1",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.2,NA,0.194,NA,NA,16.76,NA,NA,NA,98.81,129.35,13.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,9.8,NA,0.15,NA,NA,6.87,NA,NA,NA,51.6,62.36,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,8.1,NA,0.17,NA,NA,9.03,NA,NA,NA,56.2,70.83,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,7.4,NA,0.163,NA,NA,7.97,NA,NA,NA,55.19,70.93,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,8.9,NA,0.198,NA,NA,17.72,NA,NA,NA,84.9,114.68,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,9.2,NA,0.117,NA,NA,3.83,NA,NA,NA,29.42,35.33,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,10.3,NA,0.137,NA,NA,4.61,NA,NA,NA,39.21,46.62,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,10,NA,0.217,NA,NA,11.38,NA,NA,NA,94,112.97,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-2",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,8.3,NA,0.265,NA,NA,29.06,NA,NA,NA,187,244.39,28.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,16.7,NA,0.213,NA,NA,9.4,NA,NA,NA,145.25,161.46,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,14.6,NA,0.257,NA,NA,13.41,NA,NA,NA,192.27,215.3,9.62,NA,NA,75.74,291.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,14.4,NA,0.354,NA,NA,29.48,NA,NA,NA,315.9,365.17,19.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,11.3,NA,0.218,NA,NA,7.64,NA,NA,NA,109.3,124.59,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,12.5,NA,0.303,NA,NA,26.44,NA,NA,NA,217.4,258.72,14.88,NA,NA,86.57,345.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,14.3,NA,0.315,NA,NA,29.1,NA,NA,NA,277.3,326.58,20.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,12,NA,0.236,NA,NA,12.77,NA,NA,NA,158.9,180.67,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
