"var_in","method","unit_in","var_out","notes"
"Location",NA,NA,"location",NA
"Indonesian_name",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Low_Wd",NA,NA,NA,NA
"Wd","?","kg.m3","r.st",NA
"Hi_Wd",NA,NA,NA,NA
"Girth",NA,NA,NA,NA
"Cw_Avg","f","m","d.cr",NA
"Cw_Depth",NA,NA,NA,NA
"Hcb","?","m","h.c",NA
"CP_Idx","l7",NA,"light",NA
"CF_idx",NA,NA,NA,NA
"Isolated",NA,NA,NA,NA
"Dense",NA,NA,NA,NA
"Cw_Surf",NA,NA,NA,NA
"Cw_Vol",NA,NA,NA,NA
"Dbh","?","cm","d.bh",NA
"Height","?","m","h.t",NA
"sp_measure_envir",NA,NA,NA,NA
"grouping",NA,NA,"grouping",NA
