"lookupVariable","lookupValue","newVariable","newValue","source"
"species","Landom","species","Lansium domesticum","from paper[D Barneche]"
"species","Durzib","species","Durio zibethinus","from paper[D Barneche]"
"species","Hevbra","species","Hevea brasiliensis","from paper[D Barneche]"
"species","Alssch","species","Alstonia scholaris","from paper[D Barneche]"
"species","Schwal","species","Schima wallichii","from paper[D Barneche]"
"species","Fagfra","species","Fagraea fragrans","from paper[D Barneche]"
"species","Shoste","species","Shorea stenoptera","from paper[D Barneche]"
"species","Pitjir","species","Archidendron jiringa","from paper[D Barneche]"
"species","Acaman","species","Acacia mangium","from paper[D Barneche]"
"species","Albfal","species","Albizia falcataria","from paper[D Barneche]"
"","","growingCondition","FW","from paper[D Barneche]"
"","","vegetation","TropRF","from paper[D Barneche]"
