"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"h.t","?","m","h.t",NA
"d.ba","?","m","d.ba",NA
"d.bh","e","m","d.bh",NA
"m.lf","m5,1","kg","m.lf",NA
"m.st","m3,m5","kg","m.st",NA
"m.so","m5","kg","m.so",NA
"m.br","m5","kg","m.br",NA
"growingCondition",NA,NA,"growingCondition",NA
