"dataset","location","latitude","longitude","vegetation","species","family","pft","age","h.t","h.c","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",50,16,4.9,0.228,9.2,234.42,345.14,101.52,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",45,14.5,5.5,0.248,7.95,203.82,282.9,71.13,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,13,1.8,0.111,2.1,43.49,60.94,15.35,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",140,18,3.8,0.483,31.53,1035.91,1522.85,453.78,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",35,4.3,1.2,0.028,0.12,1.34,2.14,0.68,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",80,16.4,2.2,0.324,15.79,416.63,654.97,221.35,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",85,9,3.6,0.102,1.82,28.7,42.02,11.5,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",130,18.4,3.3,0.408,20.6,708.8,1077.47,339.61,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",220,28,4.8,0.745,87.87,3016.59,4762.87,1636.68,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,11.3,6,0.079,1.21,23.76,29.51,4.54,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,7.6,2.5,0.053,0.39,7.29,9.53,1.85,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",45,10.8,5.3,0.115,1.83,44.52,55.64,9.29,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",80,11.6,2.5,0.16,4,88.9,128.54,35.64,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",30,4.1,1.2,0.02,0.05,0.65,0.79,0.09,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,6.6,3.8,0.046,0.21,5.69,6.84,0.94,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,7.5,3.7,0.056,0.3,7.18,9.43,1.95,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",40,10.9,5.8,0.09,0.83,25.78,31.53,4.92,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",25,4.7,2.2,0.021,0.03,0.94,1.09,0.12,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",25,3.2,1.4,0.02,0.04,0.63,0.81,0.14,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",20,2.7,1.2,0.011,0.02,0.21,0.29,0.06,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",100,20,3.9,0.488,24.38,1032.73,1743.26,673.35,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",NA,17.5,NA,0.257,13.24,270.37,460.91,177.25,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",NA,13.5,NA,0.193,5.94,150.96,208.65,51.75,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",NA,12.5,NA,0.134,2.1,57.53,84.04,24.41,"FW"
"Hashizume1980","Japan-Hiruzen Forest of Tottori Univeristy-",35.3,133.6,"TempF","Fagus crenata","Fagaceae","DA",NA,22,NA,0.465,NA,NA,NA,NA,"FW"
