"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"age.class","k1","yr","age",NA
"stemid",NA,NA,NA,NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"a.stba","?","m2","a.stba",NA
"a.stbh","?","m2","a.stbh",NA
"h.t","d7,p3","m","h.t",NA
"d.ba","d2,p2","cm","d.ba",NA
"d.bh","p1,p3","cm","d.bh",NA
"a.lf","a1,e3","m2","a.lf",NA
"m.lf","m3,x6","kg","m.lf",NA
"ma.ilf","m3,a1,x6","kg.m2","ma.ilf",NA
"a.ilf","a1,e3","m2","a.ilf",NA
"growingCondition",NA,NA,"growingCondition",NA
