"var_in","method","unit_in","var_out","notes"
"stand",NA,NA,NA,NA
"tree",NA,NA,NA,NA
"Competition index",NA,NA,NA,NA
"Height m","c,d7,p3","m","h.t",NA
"H Crown base","c,d7,p3","m","h.c",NA
"D 1.3 m","d3","m","d.bh",NA
"D Crown Base m",NA,NA,NA,NA
"Crown class",NA,NA,"status",NA
"stem+bark mass kg",NA,NA,NA,NA
"stem+bark mass inside crown kg",NA,NA,NA,NA
"branch mass kg","k4,x1,m3","kg","m.br",NA
"foliage mass kg","m3,x1","kg","m.lf",NA
"woody mass inside crown kg",NA,NA,NA,NA
"woody mass of tree kg","j,m3","kg","m.st",NA
"grouping",NA,NA,"grouping",NA
