d.order,g.epi,Engler.Family,APG.Family,TreeID,StemID,MultStem,DE,CB,D0,D0.2,DBH,DBH.2,DL,DL.2,D10,H,H.2,HL,CrwnA,CrwnW,BrL,BrL.2,WS,WB,WBc,WBo,WOSB,WSB,WBL,WL,WLc,WLo,WF,WR,WA,Age,LA,LAc,LAo,V,Lat,Long,Country,Prefecture,Site,Stand,Domi.sp,Dens,Stand.age,Alt,Forest.type,Year,Month,Day,Collector,Ref,Ref.T.E,Ref.A.E,Ref.Y,Ref.J.E,Ref.V,Ref.P,Note.E
1,Ilex macropoda,Aquifoliaceae,Aquifoliaceae,711,711,,D,B,NA,NA,6.1,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,6.01,0.99,NA,NA,NA,7,NA,0.14,NA,NA,NA,NA,7.14,26,NA,NA,NA,0.00948,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
2,Carpinus laxiflora,Betulaceae,Betulaceae,313,313,,D,B,NA,NA,5.1,NA,NA,NA,NA,6.29,NA,NA,NA,NA,NA,NA,3.38,0.63,NA,NA,NA,4.01,NA,0.1,NA,NA,NA,NA,4.11,29,NA,NA,NA,0.00595,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
3,Carpinus laxiflora,Betulaceae,Betulaceae,707,707,,D,B,NA,NA,6.9,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,8.4,2.19,NA,NA,NA,10.59,NA,0.57,NA,NA,NA,NA,11.16,29,NA,NA,NA,0.01271,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
4,Pieris japonica,Ericaceae,Ericaceae,314,314,,E,B,NA,NA,5.8,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,1.66,0.84,NA,NA,NA,2.5,NA,0.49,NA,NA,NA,NA,2.99,36,NA,NA,NA,0.00497,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
5,Pieris japonica,Ericaceae,Ericaceae,604,604,,E,B,NA,NA,4.7,NA,NA,NA,NA,3.34,NA,NA,NA,NA,NA,NA,2.13,0.81,NA,NA,NA,2.94,NA,0.67,NA,NA,NA,NA,3.61,32,NA,NA,NA,0.00433,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
6,Carpinus tschonoskii,Betulaceae,Betulaceae,305,305,,D,B,NA,NA,10.1,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,23.55,7.76,NA,NA,NA,31.31,NA,0.75,NA,NA,NA,NA,32.06,35,NA,NA,NA,0.03958,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
7,Carpinus tschonoskii,Betulaceae,Betulaceae,708,708,,D,B,NA,NA,5.5,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,3.62,0.55,NA,NA,NA,4.17,NA,0.2,NA,NA,NA,NA,4.37,19,NA,NA,NA,0.0071,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1976,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
8,Carpinus tschonoskii,Betulaceae,Betulaceae,720,720,,D,B,NA,NA,8.2,NA,NA,NA,NA,10.15,NA,NA,NA,NA,NA,NA,15.44,2.02,NA,NA,NA,17.46,NA,0.64,NA,NA,NA,NA,18.1,31,NA,NA,NA,0.02609,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1982,7,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
9,Acer rufinerve,Aceraceae,Sapindaceae,436,436,,D,B,NA,NA,24.6,NA,NA,NA,NA,20.68,NA,NA,NA,NA,NA,NA,207.31,65.13,NA,NA,NA,272.44,NA,5.9,NA,NA,NA,NA,278.34,40,NA,NA,NA,0.40105,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
10,Styrax japonica,Styracaceae,Styracaceae,429,429,,D,B,NA,NA,5.3,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA,NA,3.23,1.42,NA,NA,NA,4.65,NA,0.35,NA,NA,NA,NA,5,21,NA,NA,NA,0.00649,35.2,132.7,Japan,Shimane,Sanbe Forest of Shimane University,,,,,,S,1983,8,,"Utsugi, Tanouchi, Ishihara",Katagiri et al. 1984,Studies on mineral cycling in a deciduous broad-leaved forest at Sanbe Forest of Shimane University (XII): Difference of above ground biomass in a deciduous broad-leaved forest along a slope [in Japanese with English abstract],"Katagiri, Shigeo; Ishii, Hiroshi; Miyake, Noboru; Ando, Yoshinori.",1984,"Bulletin of the Faculty of Agriculture, Shimane University",18,53-60,
