"dataset","location","latitude","longitude","vegetation","species","family","pft","a.lf","h.t","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Eurya japonica","Theaceae","EA",1.3788,2.87,0.015,0.106,0.35,0.575,0.102,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Eurya japonica","Theaceae","EA",0.2877,2.69,0.017,0.021,0.292,0.334,0.021,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Ilex pedunculosa","Aquifoliaceae","EA",15.8116,8.6,0.089,1.5,19.843,26.2,4.857,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Eurya japonica","Theaceae","EA",1.2257,3.39,0.024,0.096,0.719,0.964,0.149,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Viburnum dilatatum","Caprifoliaceae","DA",0.9009,3.59,0.014,0.039,0.269,0.344,0.036,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Eurya japonica","Theaceae","EA",2.1324,3.14,0.022,0.152,0.494,0.884,0.238,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Eurya japonica","Theaceae","EA",1.6082,3.5,0.027,0.122,1.012,1.492,0.358,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Viburnum dilatatum","Caprifoliaceae","DA",0.263,3.88,0.02,0.011,0.404,0.435,0.02,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Viburnum dilatatum","Caprifoliaceae","DA",0.1971,3.25,0.01,0.032,0.159,0.198,0.007,"FW"
"Ishii2000","Japan-Higashiyama Campus of Nagoya University-",35.152,136.97,"TempF","Viburnum dilatatum","Caprifoliaceae","DA",0.1183,1.86,0.006,0.004,0.026,0.033,0.003,"FW"
