"dataset","location","latitude","longitude","vegetation","species","family","pft","age","h.t","d.ba","d.bh","m.lf","m.st","m.so","m.br","m.rt","m.to","growingCondition"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-CotrolC1",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,6.24,NA,0.066,1.24,8.62,12.16,2.3,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-CotrolC1",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.58,NA,0.098,4.22,18.91,28.21,5.08,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-CotrolC1",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.33,NA,0.083,2.11,12.33,16.59,2.15,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-CotrolC1",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.95,NA,0.05,0.46,3.76,4.67,0.45,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F1 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.63,NA,0.09,2.45,14.22,18.95,2.28,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F1 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.36,NA,0.105,4.95,19.37,30.37,6.05,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F1 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,6.69,NA,0.081,2.44,11.87,16.68,2.37,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F1 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,6.58,NA,0.075,1.69,8.3,11.68,1.69,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F1 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.87,NA,0.066,1.86,7.72,11.67,2.09,NA,NA,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F2 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.18,NA,0.109,4.57,19.54,31.2,7.09,11.87,43.07,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F2 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,6.62,NA,0.091,2.68,14.25,19.83,2.9,9.01,28.84,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F2 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.94,NA,0.076,1.55,9.98,14.21,2.68,5.48,19.69,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Fertilized F2 since 1967",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.63,NA,0.061,0.86,5.69,7.48,0.93,2.01,9.49,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Control C2",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,7.04,NA,0.111,5.21,18.45,30.94,7.28,9.87,40.81,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Control C2",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,6.93,NA,0.092,3.48,15.3,22.62,3.84,7.66,30.28,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Control C2",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.19,NA,0.055,0.88,3.93,5.55,0.74,1.73,7.28,"PM"
"Kabaya1981","Japan-Arai Experimental Station of Tokyo University-Control C2",34.68,137.57,"TempF","Pinus thunbergii","Pinaceae","EG",33.5,5.9,NA,0.073,1.64,8.57,12.79,2.58,3.84,16.63,"PM"
