"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light"
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,29.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,1.3,NA,0.0908,NA,NA,2.129,NA,NA,NA,8.715,15.236,4.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,27.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,1.55,NA,0.0846,NA,NA,2.254,NA,NA,NA,9.191,14.657,3.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,19.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2.1,NA,0.077,NA,NA,1.601,NA,NA,NA,7.707,11.683,2.323,NA,NA,1.889,13.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,25.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1.55,NA,0.0721,NA,NA,2.05,NA,NA,NA,6.516,11.388,2.701,NA,NA,1.768,13.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,18.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,1.5,NA,0.0698,NA,NA,1.456,NA,NA,NA,6.043,10.217,2.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-A-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,11.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,1.3,NA,0.0551,NA,NA,0.873,NA,NA,NA,3.672,6.19,1.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,18.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,2.45,NA,0.1046,NA,NA,1.508,NA,NA,NA,12.793,17.809,3.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,23.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65,2.75,NA,0.0887,NA,NA,1.642,NA,NA,NA,9.197,14.265,3.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,16.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,2.9,NA,0.0748,NA,NA,1.229,NA,NA,NA,6.472,9.739,1.964,NA,NA,1.527,11.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,13.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,1.5,NA,0.08,NA,NA,1.062,NA,NA,NA,7.552,11.373,2.759,NA,NA,1.306,12.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,11.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,2.85,NA,0.0664,NA,NA,0.878,NA,NA,NA,5.366,7.759,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
"Kato1973","Japan-Mamurogawa-1-B-II",39,140,"TempF",NA,NA,NA,NA,"Alnus inokumae","Betulaceae","DA",6,10.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.85,NA,0.0545,NA,NA,0.656,NA,NA,NA,4.179,6.463,1.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA
