"dataset","location","latitude","longitude","vegetation","species","h.t","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",9.3,0.054,0.043,2.513,2.865,0.309,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",11.3,0.093,0.457,8.664,11.635,2.514,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",15.7,0.11,0.564,16.862,19.128,1.702,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",18,0.138,1.333,32.542,37.961,4.086,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",18.7,0.158,1.416,46.254,53.058,5.388,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",18.8,0.184,1.652,65.371,74.252,7.229,"PM"
"Kawahara1981","The Philippines-Aras-asan-A2",9,126,"TropRF","Albizia falcata",18.3,0.205,4.455,77.042,104.845,23.348,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",20,0.12,0.219,33.988,34.852,0.645,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",19.9,0.139,0.834,39.813,44.601,3.954,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",21.5,0.174,0.656,64.292,73.452,8.504,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",28.2,0.23,1.509,131.905,155.57,22.156,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",31,0.247,2.279,262.758,277.081,12.044,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",29.5,0.318,3.539,342.706,382.65,36.405,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF","Albizia falcata",33.6,0.361,9.604,450.587,533.299,73.108,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,4.3,0.041,0.537,1.583,2.682,0.562,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,7.6,0.06,0.474,4.256,5.495,0.765,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,7.3,0.062,0.845,5.231,8.588,2.512,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,6.6,0.073,1.479,5.22,7.096,0.397,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,7.3,0.1,1.579,10.538,23.78,11.663,"PM"
"Kawahara1981","The Philippines-Aras-asan-A4",9,126,"TropRF",NA,13.2,0.16,7.999,34.238,58.175,15.938,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",7.3,0.08,0.34,7.751,9.384,1.293,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",14.2,0.106,0.087,22.725,23.389,0.577,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",16.1,0.147,0.637,45.026,51.435,5.772,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",15.3,0.172,0.752,55.845,69.227,12.63,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",23.3,0.225,2.477,150.116,167.172,14.579,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",23.9,0.264,1.659,198.958,232.192,31.575,"PM"
"Kawahara1981","The Philippines-Aras-asan-G3",9,126,"TropRF","Gmelina arborea",25,0.314,3.241,272.876,306.008,29.891,"PM"
"Kawahara1981","The Philippines-Aras-asan-S",9,126,"TropRF","Swietenia macrophylla",5.6,0.067,0.696,5.307,7.247,1.244,"PM"
"Kawahara1981","The Philippines-Aras-asan-S",9,126,"TropRF","Swietenia macrophylla",8.8,0.112,2.69,24.385,32.614,5.539,"PM"
"Kawahara1981","The Philippines-Aras-asan-S",9,126,"TropRF","Swietenia macrophylla",11.8,0.16,5.434,50.223,80.332,24.675,"PM"
"Kawahara1981","The Philippines-Aras-asan-S",9,126,"TropRF","Swietenia macrophylla",19.7,0.24,9.716,169.425,212.737,33.596,"PM"
"Kawahara1981","The Philippines-Aras-asan-S",9,126,"TropRF","Swietenia macrophylla",18.9,0.26,12.247,228.452,314.61,73.911,"PM"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",7.9,0.073,0.291,6.254,6.85,0.305,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",10.5,0.105,1.698,15.792,20.303,2.813,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",16.3,0.142,1.218,42.539,46.15,2.393,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",19.8,0.19,4.589,85.284,98.382,8.509,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",23,0.249,4.695,192.074,212.186,15.417,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",21.5,0.304,6.901,263.515,286.964,16.548,"FW"
"Kawahara1981","The Philippines-Aras-asan-D",9,126,"TropRF","Dipterocarp sp.",26.9,0.34,7.29,434.289,472.822,31.243,"FW"
