Replicate #,Species,Glasshouse#,CO2,H2O,Number of leaves,Leaf Area (m2),Height (m),Mean leaf size (cm2),Mean leaf angle (deg),STARbar (m2.m2),Crown Volume (m3),Crown surface area (m2),Crown width (m)
7,PIL,2,Elevated,Low water,549,1.595942067,1.61,29.069983,60.70309654,0.332485646,0.921784604,4.886446719,1.176756469
8,PIL,2,Elevated,Low water,811,2.427013778,1.52,29.92618715,75.16152898,0.272814051,0.949394964,4.98915476,1.20742895
9,PIL,2,Elevated,Low water,687,1.37481955,1.51,20.0119294,61.5007278,0.337635135,0.900209445,4.9601459,1.154440741
10,PIL,2,Elevated,High water,1117,2.989846595,1.64,26.76675555,60.42614145,0.294814534,1.519595934,6.887144668,1.425849016
11,PIL,2,Elevated,High water,950,3.512891246,1.91,36.97780259,64.43684211,0.260718331,1.488256107,6.770312882,1.397792373
12,PIL,2,Elevated,High water,723,2.421496642,2.04,33.49234636,66.07330567,0.288227629,1.392277352,6.513340114,1.432798811
19,PIL,3,Elevated,Low water,893,1.843802632,1.48,20.64728591,65.32026876,0.316706408,0.970384145,5.04318818,1.208572496
20,PIL,3,Elevated,Low water,537,1.279034781,1.89,23.81815235,68.17504655,0.354584917,1.233696819,6.106902836,1.223342617
21,PIL,3,Elevated,Low water,638,1.630296107,1.63,25.55323052,66.4137931,0.310016591,0.888778503,4.967405511,1.111621631
22,PIL,3,Elevated,High water,1317,4.235761927,2.02,32.16220142,72.99012908,0.249390268,1.831900899,7.825445137,1.437981145
23,PIL,3,Elevated,High water,589,2.449294394,1.8,41.58394556,67.97792869,0.318849079,1.922687996,7.99964789,1.503853372
24,PIL,3,Elevated,High water,941,3.454944782,2.03,36.71567249,73.43995749,0.274414997,1.859942502,7.92760198,1.498131392
31,PIL,4,Ambient,Low water,284,0.537405038,1.4,18.9227126,55.90140845,0.380636802,0.392349396,2.826726015,0.944457883
32,PIL,4,Ambient,Low water,601,1.474439393,1.48,24.53310138,65.11813644,0.332085659,0.991253457,5.171075747,1.167636981
33,PIL,4,Ambient,Low water,654,1.47605595,1.17,22.56966284,68.62079511,0.307068804,0.666595243,3.948085907,1.064834297
34,PIL,4,Ambient,High water,566,2.118778375,1.95,37.43424692,66.86749117,0.315637365,1.242649762,6.09187759,1.269434617
35,PIL,4,Ambient,High water,579,2.215502726,1.94,38.26429579,67.55094991,0.311402929,1.376090691,6.626975233,1.309834111
36,PIL,4,Ambient,High water,611,1.146688772,1.43,18.76741034,62.38625205,0.336462331,0.687769093,4.006685382,1.096256576
43,PIL,5,Ambient,Low water,775,1.650822082,1.32,21.30093009,66.14709677,0.311101685,0.829175036,4.572910262,1.133370089
44,PIL,5,Ambient,Low water,395,0.962016227,1.28,24.35484118,59.43544304,0.369537933,0.727223925,4.124582633,1.139770332
45,PIL,5,Ambient,Low water,361,0.858608022,1.45,23.78415575,60.3767313,0.370274244,0.677457924,3.993836585,1.107410779
46,PIL,5,Ambient,High water,637,2.329165651,1.95,36.5646099,79.66562009,0.280358728,1.383163835,6.455751048,1.366090979
47,PIL,5,Ambient,High water,1001,2.439155035,1.76,24.36718316,67.40559441,0.316746636,1.675244118,7.328960125,1.397779105
48,PIL,5,Ambient,High water,967,2.0215742,1.76,20.90562771,67.30196484,0.309431514,1.183299222,5.765722289,1.296973967
1,POP,2,Elevated,Low water,279,0.941985704,1.44,33.76292846,73.71326165,0.370794855,1.062330864,4.886446719,1.176756469
2,POP,2,Elevated,Low water,120,0.551025945,1.29,45.91882872,66.20833333,0.345681968,0.232502566,4.98915476,1.20742895
3,POP,2,Elevated,Low water,66,0.257623819,1.35,39.03391199,73.36363636,0.406425,0.206204866,4.9601459,1.154440741
4,POP,2,Elevated,High water,197,0.795655312,1.09,40.38859451,66.03045685,0.349506769,0.428685501,6.887144668,1.425849016
5,POP,2,Elevated,High water,307,1.077691049,1.2,35.10394295,66.4495114,0.348956356,0.734051295,6.770312882,1.397792373
6,POP,2,Elevated,High water,307,0.887280933,1.35,28.90165907,65.53094463,0.366817412,0.643351166,6.513340114,1.432798811
13,POP,3,Elevated,Low water,117,0.479364004,1.41,40.97128237,64.67521368,0.3936857,0.655353285,5.04318818,1.208572496
14,POP,3,Elevated,Low water,262,0.871295625,1.21,33.25555821,61.1259542,0.364638784,0.551308765,6.106902836,1.223342617
15,POP,3,Elevated,Low water,301,0.736421343,1.28,24.46582536,64.52159468,0.372673665,0.528772023,4.967405511,1.111621631
16,POP,3,Elevated,High water,327,1.277453222,1.41,39.06584776,67.12538226,0.341318521,0.768176901,7.825445137,1.437981145
17,POP,3,Elevated,High water,367,1.392888303,1.27,37.95335975,71.07629428,0.294669194,0.546425662,7.99964789,1.503853372
18,POP,3,Elevated,High water,212,1.014722395,1.63,47.86426391,73.53773585,0.345801943,0.710154979,7.92760198,1.498131392
