"var_in","method","unit_in","var_out","notes"
"a.stba.cm","d","cm","d.ba",NA
"a.stbh.cm","d","cm","d.bh",NA
"a.stbc.cm",NA,NA,NA,NA
"h.t.m",NA,"m","h.t",NA
"h.c.m",NA,"m","h.c",NA
"m.lf.g",NA,"g","m.lf",NA
"m.st.g",NA,"g","m.st",NA
"m.rf.g",NA,"g","m.rf",NA
"m.rc.g",NA,"g","m.rc",NA
"m.rt.g",NA,"g","m.rt",NA
"lf.ma.g.m2",NA,"g.m2","ma.ilf",NA
"d.st.g.cm3",NA,"g.cm3","r.st",NA
"n.lf.per",NA,"kg.kg","n.lf","originally percentage, but transformed into proportion in the R script"
"n.ss.per",NA,"per","n.ss","percentage"
"n.rf.per",NA,"per","n.rf","percentage"
"n.rc.per",NA,"per","n.rc","percentage"
"contributor",NA,NA,NA,NA
"family",NA,"-","family",NA
"species",NA,"-","species",NA
"pft",NA,"-","pft",NA
"growingCondition",NA,"-","growingCondition",NA
"status",NA,"-","status",NA
"light",NA,"-","light",NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,"-","vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"reference",NA,NA,NA,NA
