contributor,family,species,a.stba.cm,a.stbh.cm,a.stbc.cm,h.t.m,h.c.m,m.lf.kg,m.st.kg,m.br.kg,m.rt.kg,lf.ma.g.m2,d.st.g.cm3,pft,growingCondition,status,location,latitude,longitude,vegetation,lai.m2.m2,map,mat,reference
Kenzo 2009,Anacardiaceae,Unknown sp. 1 ,,20.7,,25,,8.02,158.8,11.92,,,,EA,FW,2,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Anacardiaceae,Unknown sp. 2 ,,24.5,,30,,11.36,223.19,43.03,,,,EA,FW,3,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Annonaceae,Alphonsea johorensis ,,21,,25,,10.8,158.94,24.95,,,,EA,FW,2,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Annonaceae,Unknown ,,8.3,,10,,1.28,11.43,1.61,,,,EA,FW,1,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Burseraceae,Santiria apiculata ,,24.6,,30,,13.42,281.68,98.71,,,0.66,EA,FW,3,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Celastraceae,Kokoona ovatolanceolata ,,1.3,,1.8,,0.07,0.35,0.03,,,0.35,EA,FW,0,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Clusiaceae,Garcinia penangiana ,,1,,1.5,,0.08,0.06,0.02,,,0.66,EA,FW,0,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Dipterocarpaceae,Dryobalanops beccarii ,,1.2,,1.8,,0.08,0.08,,,81,0.56,EA,FW,0,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Dipterocarpaceae,Shorea andulensis ,,18.3,,25,,2.69,117.71,16.54,,,0.51,EA,FW,2,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Dipterocarpaceae,Shorea cf. stenoptera ,,2.3,,2.8,,0.31,0.49,,,,0.27,EA,FW,0,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Dipterocarpaceae,Shorea parvifolia ,,1.4,,2.5,,0.12,0.21,,,68.2,0.21,EA,FW,0,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Dipterocarpaceae,Shorea parvifolia ,,27.8,,30,,5.92,256.7,41.94,,68.2,0.21,EA,FW,3,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Euphorbiaceae,Macaranga costulata ,,9.5,,15,,0.15,21.03,0.56,,,0.3,EA,FW,2,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Euphorbiaceae,Macaranga trachyphylla ,,12,,13,,2.47,31.2,3.05,,,0.3,EA,FW,1,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Euphorbiaceae,Endospermum cf. diadenum,,29.3,,35,,15.9,221.91,41.23,,,0.34,EA,FW,3,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Lauraceae,Litsea castanea ,,20.3,,25,,11.18,103.48,18.29,,,0.51,EA,FW,2,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Lauraceae,Litsea cauliflora ,,27.3,,30,,17.49,355.03,73.49,,,0.45,EA,FW,3,Balai Ringin Protected Forest,0.916666667,110.7166667,TropRF,Approx. 6.0,3500,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Meliaceae,Aglaia affinis ,,5.2,,6,,0.15,5.68,0.24,,,0.66,EA,FW,1,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
Kenzo 2009,Meliaceae,Aglaia bernardoi ,,6.4,,9,,0.64,8.8,0.16,,,0.66,EA,FW,1,"Sabal Forest Reserve, Sarawak, Malaysia",1.05,110.9166667,TropRF,Approx. 7.0,4010,25,"KENZO T, FURUTANI R, HATTORI D, KENDAWANG JJ, TANAKA S, SAKURAI K & NINOMIYA I. 2009. Allometric equations for accurate estimation of above-ground biomass in logged-over tropical rainforests in Sarawak, Malaysia. Journal of Forest Research 14: 365_372"
