SpecCode,No,D1.cm,D2.cm,H.cm,Hl.cm,CW1.cm,CW2.cm,LL.cm,Shootn,Wtl.g,Wts.g,Wbl.g,Wbs.g,La.cm2
La,1,1.22,1.2,165,90,77,70,22,6,8.349,46.849,12.027,4.708,3055
La,2,0.88,0.81,102,64,52,48,28,1,10.789,15.221,0,0,1618
La,3,0.61,0.67,59,41,47,36,22,1,4.389,5.575,0,0,658
La,4,0.6,0.55,52,24,33,32,20,1,3.412,3.244,0,0,512
La,5,0.78,0.81,76,37,48,46,24.5,2,6.182,10.13,1.869,0.465,1207
La,6,0.89,0.79,70,36,44.5,43,22.5,1,7.55,10.953,0,0,1132
La,7,0.68,0.7,66,22,46,44,24,1,7.505,6.718,0,0,1125
La,9,1.1,1.2,108,66,104,64,22,7,8.638,28.721,14.47,6.629,3465
La,10,0.72,0.73,102,72,37,38,21,1,4.48,11.62,0,0,672
La,11,0.72,0.69,82,61,36,36,20,1,3.595,8.3,0,0,539
La,12,0.64,0.64,54,33,38,29,16.5,2,2.04,4.923,1.796,0.458,575
La,13,0.55,0.61,57,35,36,36,18.5,1,3.37,4.25,0,0,505
La,14,1.11,0.9,113,97,56,47,19,3,3.249,22.84,2.75,1.155,899
La,15,0.66,0.71,104,44,48,31,17,5,0.763,11.415,4.76,3.72,828
Sg,1,1.24,1.1,119,96,50,50,15,6,1.719,34.536,6.378,4.908,1085
Sg,2,0.9,0.81,62,42,32,35,17.5,2,3.187,11.528,0.918,0.211,550
Sg,3,0.74,0.75,99,61,63,28,19,3,2.502,11.75,2.954,1.684,731
Sg,4,0.64,0.65,86,75,29,30,18,1,2.035,7.63,0,0,273
Sg,5,1.07,1.03,112,92,64,33,18,4,0.933,29.59,4.643,1.986,748
Sg,6,0.89,0.91,143,120,52,33,18,2,4.108,25.8,2.344,1.45,865
Sg,7,0.64,0.66,64,48,31,27,19,1,2.745,5.487,0,0,368
Ms,1,0.91,0.89,121,88,54,50,20,4,5.308,32.51,6.498,3.636,1336
Ms,2,1.02,1.1,123,76,77,65,15,9,4.13,40.25,15.16,7.96,2182
Ms,3,1.14,1.06,152,87,81,60,20,10,4.41,49.91,15.11,7.72,2208
Ms,4,0.91,1.01,127,84,69,63,16,4,4.75,33.98,5.544,4.611,1165
Ms,5,0.8,0.83,100,87,37,33,19,1,7,21.32,0,0,792
Ms,6,0.81,0.88,106,81,46,36,21.5,2,6.094,18.276,1.948,0.369,910
Na,1,0.97,0.94,115,31,75,64,11,35,1.443,21.573,18.79,9.286,2517
Na,2,0.59,0.6,54,19,41,38,7.5,15,0.598,4.012,2.758,1.228,417
Na,3,0.42,0.45,50.5,24.5,31,29,6.7,6,0.466,1.774,1.673,0.518,266
Na,4,0.45,0.45,59,28,42,29,8,5,0,2.168,2.598,0.371,323
Na,5,0.66,0.6,72,43,39,33,7.5,9,0.252,4.769,2.272,1.584,314
Na,6,0.62,0.62,84,47,54,34,10.5,10,1.692,7.584,4.25,2.038,739
Na,7,0.62,0.6,85,33,53,42,8,9,1.372,7.141,4.947,2.354,786
Na,8,0.74,0.7,80,43,69,66,8,15,1.043,8.94,6.93,2.962,992
Sp,1,0.75,0.8,92,40,84,58,7,15,0.64,13.245,7.32,4.835,1109
Sp,2,0.66,0.68,101,40,66,80,7,18,0.522,10.249,4.609,3.724,715
Sp,3,1.18,1.02,155,105,75,54,7,29,0.758,48.97,13.65,7.975,2007
Sp,4,0.56,0.54,53,27,50,23,6.5,10,0.54,3.583,2.519,1.123,426
Dr,1,0.84,0.82,95,63,92,55,7.5,17,0.995,21.11,9.46,4.58,864
Dr,2,1.33,1.26,169,98,115,47,8,47,0.984,83.105,22.64,14.92,1952
Dr,3,0.72,0.7,89,42,99,90,9,30,2.016,15.54,11.39,7.94,1108
Dr,4,0.95,0.92,80,8,77,39,9.5,31,2.137,19.22,15.19,6.651,1432
Dr,5,0.84,0.81,74,32,95,78,9.5,38,1.24,15,15.78,11.78,1407
Dr,6,0.59,0.55,53,28,47,28,7.5,15,0.55,4.987,4.22,2.648,394
Cl,1,1.05,0.94,95,62,92,82,10,27,1.58,27.54,18.48,11.58,1933
Cs,1,0.53,0.58,35,8,41,24,5.2,27,0.066,2.941,3.648,1.603,527
Cs,2,1.02,0.85,100,36,55,55,5.5,68,0.49,20.965,9.052,5.097,1354
Cs,3,0.6,0.62,61,31,48,39,5.2,28,0.242,5.635,3.086,2.25,472
Cs,4,0.46,0.5,30,16,30,30,5,22,0.138,1.762,2.061,0.806,312
Cs,5,0.96,1.01,103,63,45,69,7,65,0.194,23.72,6.58,6.627,961
Cs,6,0.45,0.5,51,28,31,44,5.5,23,0.075,2.655,1.757,1.293,260
Cs,7,0.86,0.84,93,10,67,84,6,54,0.748,13.353,14.37,9.78,2144
Cs,8,0.84,0.89,64,24,67,51,5.5,69,0.109,8.099,11.77,10.27,1685
Cs,9,0.87,0.83,90,69,45,47,5,63,0.305,16.746,7.22,4.35,1067
Ej,1,0.74,0.86,93,68,107,59,7.5,0,0.437,19.32,8.27,6.05,1167
Ej,2,1.22,1.04,91,71,112,93,7,0,0.149,39.17,15.62,27.32,2114
Ej,3,0.76,0.79,68,44,74,73,5,0,0.069,11.08,6.16,9.13,835
Ej,4,0.49,0.46,53,27,44,30,6,0,0.08,3.615,1.931,1.065,270
