"","var_in","method","unit_in","var_out","notes"
"1","H.cm","","cm","h.t",NA
"2","Hl.cm","","cm","h.c",NA
"3","CW1.cm","a","cm","d.cr",NA
"4","CW2.cm","a","cm","d.cr",NA
"5","m.st","m5","g","m.st",NA
"6","Wbs.g","m5","g","m.br",NA
"7","La.cm2","","cm2","a.lf",NA
"8","leaf.mass","m5","g","m.lf",NA
"9","SpecCode",NA,NA,"species",NA
"10","No",NA,NA,NA,NA
"11","D1.cm",NA,NA,NA,NA
"12","D2.cm",NA,NA,NA,NA
"13","LL.cm",NA,NA,NA,NA
"14","Shootn",NA,NA,NA,NA
"15","Wtl.g",NA,NA,NA,NA
"16","Wts.g",NA,NA,NA,NA
"17","Wbl.g",NA,NA,NA,NA
