Year,#,SpecCode,H.cm,Hl.cm,D.cm,DDH.cm3,Ac.cm2,Al.cm2,SLA.cm2.g,Ll.cm,Nb,Wtl.g,Wbl.g,Wts.g,Wbs.g,Wl.g,Ws.g,W.g
1987,38,"Diosum,",92,57,0.67,41.7,3123,756,168,9,6,0.1,4.4,11.3,1.7,4.5,13,17.5
1987,19,"Diosum,",95,0,0.81,62.3,3578,1777,209,9,12,0,8.5,11.7,4.3,8.5,16,24.5
1987,56,"Diosum,",118,75,0.79,74.6,2873,1815,191,8.5,11,0.1,9.4,18.8,3,9.5,21.8,31.3
1984,43,"Diosum,",143,98,0.67,64.1,3393,1265,166,12,8,0.44,7.18,17.44,2.82,7.62,20.26,27.88
1984,2,"Diosum,",169,90,0.99,164.8,8011,3863,196,11,-1,0.15,19.56,40.82,9.42,19.71,50.24,69.95
1987,20,"Diosum,",181,102,1.1,221,6289,3341,192,11.3,11,0.1,17.3,51.7,6.9,17.4,58.6,76
1987,57,"Diosum,",182,110,1.38,348.6,10009,5095,193,10,7,0,26.4,81.1,16,26.4,97.1,123.5
1984,58,"Diosum,",185,93,1.02,194.3,6981,2365,167,12,7,1.5,12.66,44.85,7.91,14.16,52.76,66.92
1984,26,"Diosum,",191,78,0.97,181.6,3641,1845,171,12,9,0.25,10.54,45.69,7.19,10.79,52.88,63.67
1987,40,"Gonyst,",59,21,0.61,22.3,1133,660,165,14.4,4,1.3,2.7,3.5,1.2,4,4.7,8.7
1984,3,"Gonyst,",106,28,0.99,104.9,2553,2587,152,17,8,4.65,12.37,20.48,3.73,17.02,24.21,41.23
1987,3,"Gonyst,",113,37,0.83,77.4,2724,1706,158,17,6,4.2,6.6,19,2.3,10.8,21.3,32.1
1984,46,"Gonyst,",140,46,1.06,157.3,4294,2515,127,20,11,2.48,17.32,38.18,7.54,19.8,45.72,65.52
1984,50,"Gonyst,",141,32,0.95,128.4,4357,3047,151,21,9,6.61,13.57,26.08,3.75,20.18,29.83,50.01
1984,65,"Gonyst,",142,51,1.08,164.9,4529,2150,141,20,9,3,12.25,33.44,6.17,15.25,39.61,54.86
1987,4,"Gonyst,",145,43,0.91,119.8,3952,2990,168,16,7,4.8,13,29.2,4,17.8,33.2,51
1987,27,"Gonyst,",192,72,1.23,290.4,5631,3990,141,18,14,0,28.3,84.7,17.3,28.3,102,130.3
1984,51,"Gonyst,",210,58,1.13,270.5,8796,5192,145,20,12,5.57,30.24,76.25,10.87,35.81,87.12,122.93
1984,37,"Grewia,",91,55,0.69,43.9,1512,763,175,21,1,2.01,2.35,7.59,0.93,4.36,8.52,12.88
1987,51,"Grewia,",93,74,0.93,80.4,1297,2466,180,18.5,2,1.8,11.9,15.5,1.9,13.7,17.4,31.1
1984,38,"Grewia,",115,48,1.02,119.6,3770,2001,186,21,10,0.36,10.4,22.74,3.43,10.76,26.17,36.93
