"var_in","method","unit_in","var_out","notes"
"H.cm","?","cm","h.t",NA
"Hl.cm","?","cm","h.c",NA
"Ac.cm2","a","cm2","a.cp",NA
"Al.cm2","c","cm2","a.lf",NA
"SLA.cm2.g","m5,b,7","cm2.g","ma.ilf",NA
"Wbs.g","m5","g","m.br",NA
"Wl.g","m5,6","g","m.lf",NA
"Ws.g","m5","g","m.st",NA
"W.g","m5","g","m.so",NA
"Year",NA,NA,NA,NA
"#",NA,NA,NA,NA
"SpecCode",NA,NA,"species",NA
"D.cm",NA,"cm","d.bh",NA
"DDH.cm3",NA,NA,NA,NA
"Ll.cm",NA,NA,NA,NA
"Nb",NA,NA,NA,NA
"Wtl.g",NA,NA,NA,NA
"Wbl.g",NA,NA,NA,NA
"Wts.g",NA,NA,NA,NA
"h.bh",NA,"cm","h.bh","diameter measured at 1/10th of tree height"
