"","","lookupVariable","lookupValue","newVariable","newValue","source"
"1",1,"species","Swinto,","species","Swintonia schwenkii","from paper[D Barneche]"
"2",2,"species","Shorea,","species","Shorea sumatrana","from paper[D Barneche]"
"3",3,"species","Nephel,","species","Nephelium juglandifolium","from paper[D Barneche]"
"4",4,"species","Hopeam,","species","Hopea dryobalanoides","from paper[D Barneche]"
"5",5,"species","Mastix,","species","Mastixia trichotoma","from paper[D Barneche]"
"6",6,"species","Phylla,","species","Cleistanthus glandulosus","from paper[D Barneche]"
"7",7,"species","Grewia,","species","Grewia florida","from paper[D Barneche]"
"8",8,"species","Gonyst,","species","Gonystylus forbesii","from paper[D Barneche]"
"9",9,"species","Diosum,","species","Diospyrus sumatrana","from paper[D Barneche]"
"10",10,"","","latitude","-0.9166667 ","from paper[D Barneche]"
"11",11,"","","longitude","100.5 ","from paper[D Barneche]"
"12",12,"","","map","4760 ","from paper[D Barneche]"
"13",13,"","","growingCondition","FW ","from paper[D Barneche]"
"14",14,"","","vegetation","TropRF ","from paper[D Barneche]"
"15",15,"","","location","Ulu Gadut valley, Padang, Sumatra, Indonesia","from paper[D Barneche]"
