SpecCode,No,H.cm,CW1.cm,CW2.cm,RD.cm,RW1.cm,RW2.cm,Fine-RL.cm,Al.cm2,Wl.mg,Ws.mg,Wr.mg,SLA.cm2.g
Cl,1,21.5,16,10,12,30,21,183.0,62.8,559,745,578,112.3
Cl,2,18.5,5,6.5,4.5,5,3,26.0,24.5,166,185,55,147.6
Cl,3,22.5,14,6,6.5,10,6,46.5,69.9,539,548,330,129.7
Cl,4,23.5,13,15,3.5,13,7.5,55.0,93.2,841,1022,449,110.8
Rt,1,17,10,7,7,8.5,5,24.0,37.0,166,141,151,222.9
Rt,2,16,11,8,6.5,10,3.5,48.5,30.7,129,118,104,238.0
Rt,3,13,10,6,7,17,10,43.0,39.0,164,118,90,237.8
Rt,4,12,9,5.5,4.5,6.5,3.5,36.0,17.8,79,83,67,225.3
Cs,1,20,17,13,21,8,6,18.5,129.3,870,551,846,148.6
Cs,2,12,7.5,5,9.7,1,1.2,2.5,23.8,111,77,72,214.4
Cs,3,10,8,5.5,21.5,13,5,9.5,29.9,149,66,258,200.7
Cs,4,6.5,5,3,9,6,1,4.2,11.6,58,42,136,200.0
Cs,5,20,20,17.5,17.5,8,5,12.0,94.2,634,745,1955,148.6
Cs,6,20,21,15,25,11,4,7.0,91.8,609,363,763,150.7
Cj,1,16,8,7,18,7,2,2.0,23.9,174,241,310,137.4
Cj,2,20,12.5,9,20,8,5,16.0,46.8,354,272,371,132.2
Ej,1,13,16,8,8,13,9,116.0,70.1,414,327,346,169.3
Ej,2,11,8.5,9,5,43,8,124.0,53.2,247,169,165,215.4
Ej,3,7,7,6.5,4.5,7,6,59.0,26.2,120,43,69,218.3
Ej,4,17,17,10,7,15,9,69.0,147.6,730,302,224,202.2
Ej,5,18,15,15,10,12,3.5,47.5,78.4,451,503,663,173.8
Sg,1,27,22,20,17,7,6.5,22.5,137.5,637,815,1408,215.9
Sg,2,15,12,9,20,2.5,1,14.0,54.1,221,154,126,244.8
Sg,3,15,8,12,13.5,5,2,17.5,71.4,294,339,178,242.9
Sg,4,9.5,8,8,12,3.5,2.5,23.0,28.2,125,83,103,225.6
Sg,5,13,9.5,6.5,7.5,5,3.5,18.0,24.1,111,162,143,217.1
Sp,1,25,10.5,8,7,15,9,22.0,46.5,252,318,286,184.5
Sp,2,19,11.5,10.5,7,8.5,4,40.5,92.8,485,207,211,191.3
Sp,3,11,8.5,5.5,7.5,8.5,3.5,32.5,35.8,165,80,99,217.0
Sp,4,9,6,6,5,5,5,18.0,27.5,119,42,78,231.1
St,1,10.5,11.5,12,10,9,9,37.5,81.9,549,185,428,149.2
St,2,20,17,13,12,6.5,10,34.5,123.4,818,320,279,150.9
St,3,11,6,4.5,7,3,2,14.0,19.9,72,52,20,276.4
St,4,19,18,18,16,11,10,96.0,206.9,1389,639,964,149.0
Pn,1,15,9,8,6,6.5,2,7.5,21.4,133,205,218,160.9
Pn,2,25,16,11.5,13,6,5,19.0,162.9,1252,1062,498,130.1
Pn,3,22,10.5,7.5,17,4,3.5,22.0,53.2,352,289,139,151.1
Pn,4,29,25,18,7.5,14,6,54.0,214.2,1772,1468,1139,120.9
Dr,1,11,10.5,9,8,14,4,24.0,61.8,598,352,293,103.3
