Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00214,0.205,0.000178,0.000283,0.00021,1.73E-05,0.013522035,0.085520953,0.004997898,0.001
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00214,0.205,0.000178,0.000283,0.00021,1.73E-05,0.013522035,0.085520953,0.004997898,0.001
NZ,WTRF,Kunzea ericoides,Myrtaceae,5.00E-04,0.063,1.30E-05,8.00E-06,5.00E-06,1.36E-05,0.00291971,0.041163298,0.000531434,3.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00088,0.091,4.20E-05,3.50E-05,2.60E-05,1.71E-05,0.006724453,0.066291291,0.001499348,0.00152
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00043,0.058,1.50E-05,1.30E-05,2.20E-05,1.88E-05,0.003342001,0.040546211,0.001058157,0.00152
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00124,0.077,3.50E-05,1.60E-05,2.70E-05,1.58E-05,0.006506258,0.073375944,0.001442538,5.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00036,0.034,1.00E-05,4.00E-06,8.00E-06,1.44E-05,0.001976864,0.030445973,0.000560725,0.000401
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00072,0.058,2.70E-05,8.00E-06,1.80E-05,2.33E-05,0.006008841,0.071237136,0.001036612,5.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00099,0.066,2.90E-05,1.20E-05,1.20E-05,2.16E-05,0.005988084,0.067582,0.001178602,5.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00029,0.06,1.00E-05,6.00E-06,9.00E-06,8.31E-06,0.001830135,0.035629322,0.000378096,0.000762
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00121,0.1,3.60E-05,2.00E-05,2.20E-05,2.42E-05,0.008286382,0.080364257,0.002318191,0.001
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00214,0.13,0.000111,8.50E-05,6.70E-05,1.73E-05,0.013522035,0.085520953,0.004997898,0.001
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00214,0.13,0.000111,8.50E-05,6.70E-05,1.73E-05,0.013522035,0.085520953,0.004997898,0.001
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00194,0.123,5.10E-05,2.80E-05,3.10E-05,2.02E-05,0.011753408,0.105824312,0.002341241,8.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,8.00E-04,0.11,5.00E-05,7.40E-05,5.20E-05,1.01E-05,0.008581718,0.065570226,0.003299207,0.00254
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00563,0.32,0.000241,0.00036,0.000302,2.07E-05,0.034321023,0.164214019,0.008913027,0.0017
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00466,0.34,0.000222,0.00058,0.000314,2.66E-05,0.021588665,0.074118325,0.009063243,0.0021
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00351,0.345,0.000182,0.000327,0.000183,2.25E-05,0.028588165,0.142950244,0.008347396,0.0018
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00055,0.06,2.20E-05,8.00E-06,1.10E-05,1.41E-05,0.004574475,0.063379782,0.00062647,0.000401
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00544,0.33,0.000279,0.000617,0.000672,2.16E-05,0.046658908,0.144886875,0.019111028,0.00685
NZ,WTRF,Kunzea ericoides,Myrtaceae,8.00E-04,0.064,2.30E-05,9.00E-06,1.50E-05,2.57E-05,0.00588557,0.072673202,0.001102606,5.00E-04
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00232,0.188,9.20E-05,0.000298,0.000167,1.48E-05,0.009348365,0.037947025,0.004808669,0.0033
NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00117,0.145,5.60E-05,0.000116,5.70E-05,1.48E-05,0.005058112,0.048039438,0.002315892,0.00228
