Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00648,0.076,0.000455,0.000117,0.00029,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00508,0.056,0.000278,6.50E-05,0.000119,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00628,0.077,0.000511,0.000144,0.000275,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00453,0.061,0.000328,7.20E-05,0.000247,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00619,0.1,0.00173,0.00078,0.00094,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00196,0.092,0.00048,0.00016,5.00E-04,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00165,0.085,0.00086,3.00E-04,0.00094,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00472,0.092,0.00105,2.00E-04,0.00074,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00615,0.136,0.00156,0.00033,0.00055,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00816,0.125,0.00175,0.00044,0.00057,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00339,0.093,0.00125,0.00034,0.00079,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00429,0.09,0.00168,0.00075,0.00093,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00634,0.094,0.00163,0.00021,0.00057,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00884,0.112,0.00172,0.00042,0.00054,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00268,0.07,0.000763,0.000365,0.000479,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00322,0.09,0.000981,0.000365,0.000592,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00283,0.081,0.000656,0.000289,0.000394,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00205,0.074,0.000559,0.000183,0.000438,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.0145,0.062,0.000396,6.80E-05,0.000122,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.00814,0.035,0.000263,5.10E-05,8.20E-05,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01227,0.051,0.000341,5.40E-05,7.60E-05,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01163,0.036,0.000363,4.50E-05,0.000108,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.18704,0.238,0.01005,0.0024,0.00578,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01478,0.042,7.00E-04,2.00E-04,0.00116,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.02749,0.074,0.00149,4.00E-04,0.00194,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01433,0.048,0.00088,0.00026,0.00128,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.017,0.066,0.00089,0.00029,0.00139,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01518,0.051,0.00083,0.00013,0.00132,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.19295,0.285,0.00978,0.00259,0.0056,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.16789,0.245,0.01081,0.00315,0.0071,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.17061,0.286,0.00906,0.00223,0.00633,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.16042,0.233,0.00783,0.00213,0.00489,NA,NA,NA,NA,NA
