"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","a.lf","","m2","a.lf",NA,"a.lf"
"2","h.t","","m","h.t",NA,"h.t"
"3","m.lf","m0","kg","m.lf",NA,"m.lf"
"4","m.st","m0","kg","m.st",NA,"m.st"
"5","m.rt","m0","kg","m.rt",NA,"m.rt"
"6","dataset",NA,NA,NA,NA,"dataset"
"7","Country",NA,NA,NA,NA,"Country"
"8","Forest.type",NA,NA,NA,NA,"Forest.type"
"9","Species",NA,NA,"species",NA,"Species"
"10","Family",NA,NA,NA,NA,"Family"
"11","lf.sz",NA,NA,NA,NA,"lf.sz"
"12","a.cs",NA,NA,NA,NA,"a.cs"
"13","h.c",NA,NA,NA,NA,"h.c"
"14","a.cp",NA,NA,NA,NA,"a.cp"
"15","d.ba",NA,NA,NA,NA,"d.ba"
