dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00174,0.055,0.000102,4.60E-05,0.000108,0.000173893,0.007287738,0.04593354,0.002887351,0.0016
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00128,0.05,7.60E-05,7.00E-05,5.80E-05,0.000159794,0.006601492,0.069209799,0.001497237,0.0019
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00635,0.224,0.00048,0.000522,0.000309,9.82E-05,0.074095469,0.25101935,0.016593428,0.0031
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00992,0.306,0.000564,0.00106,0.000847,0.0005831,0.068475544,0.224093696,0.023251276,0.00381
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.01613,0.65,0.0013,0.004326,0.002996,8.73E-05,0.220337081,0.384056896,0.058425923,0.003
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00165,0.06,7.70E-05,2.00E-05,9.30E-05,0.000153809,0.007151352,0.052584902,0.002974892,0.0015
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00166,0.064,9.80E-05,5.20E-05,4.40E-05,0.000171793,0.006694793,0.044245545,0.003105944,0.0012
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00135,0.065,9.70E-05,2.60E-05,6.30E-05,0.000139382,0.005751657,0.05464246,0.002321058,0.0015
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00014,0.023,3.00E-06,2.00E-06,2.00E-06,3.59E-05,0.000593018,0.010909122,0.000327379,3.00E-04
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,7.00E-05,0.031,5.00E-06,4.00E-06,7.00E-06,1.78E-05,0.00046688,0.011091452,0.000224046,5.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00018,0.027,6.00E-06,4.00E-06,6.00E-06,3.04E-05,0.000939777,0.01629434,0.000427708,0.000762
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,4.00E-04,0.038,2.00E-05,7.00E-06,1.00E-05,5.77E-05,0.001507763,0.017951836,0.000734856,0.00102
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00021,0.032,1.00E-05,1.00E-05,1.00E-05,2.64E-05,0.001120138,0.022657234,0.000321409,0.000401
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00083,0.109,3.70E-05,5.20E-05,2.50E-05,5.96E-05,0.0061744,0.079811992,0.001151565,0.00305
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00025,0.057,1.10E-05,1.30E-05,8.00E-06,5.01E-05,0.001472538,0.02144628,0.000629134,0.001
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,8.00E-04,0.104,5.00E-05,2.40E-05,1.90E-05,8.02E-05,0.006565835,0.065688932,0.001882219,8.00E-04
