dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008596977,0.017453964,0.114,0.073391327,0.0014,NA,NA,NA,0.00028,NA,NA,NA,0.00018,NA,NA,NA,NA,0.00026,NA,0.000655554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.01073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015628164,0.055991596,0.171,0.190865305,0.0021,NA,NA,NA,0.00071,NA,NA,NA,0.00054,NA,NA,NA,NA,7.00E-04,NA,0.000975856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012512475,0.039565416,0.142,0.157390597,0.0016,NA,NA,NA,0.00058,NA,NA,NA,0.00032,NA,NA,NA,NA,0.00033,NA,0.00088529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.01154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017571284,0.062732557,0.242,0.179926059,0.0034,NA,NA,NA,0.00114,NA,NA,NA,0.00081,NA,NA,NA,NA,0.00066,NA,0.001049339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014074243,0.044241163,0.17,0.133171789,0.00254,NA,NA,NA,8.00E-04,NA,NA,NA,0.00055,NA,NA,NA,NA,0.00057,NA,0.0009191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.01121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014367701,0.052700781,0.2,0.149755945,0.00254,NA,NA,NA,0.00117,NA,NA,NA,0.00069,NA,NA,NA,NA,0.00056,NA,0.001121175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.02048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027862769,0.101679003,0.26,0.229145662,0.00381,NA,NA,NA,0.001915,NA,NA,NA,0.00101,NA,NA,NA,NA,0.00135,NA,0.001706867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.06246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051113501,0.286577874,0.52,0.47157231,0.00407,NA,NA,NA,0.00502,NA,NA,NA,0.00273,NA,NA,NA,NA,0.00175,NA,0.002402396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.04272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037215204,0.153080367,0.327,0.311205289,0.002,NA,NA,NA,0.00379,NA,NA,NA,0.00287,NA,NA,NA,NA,0.00165,NA,0.001708822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.02892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039942521,0.13959854,0.3,0.290805252,0.00381,NA,NA,NA,0.0025,NA,NA,NA,0.00173,NA,NA,NA,NA,0.00154,NA,0.001700906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
